name,college,team_name,gdp
Buddy Hield,Oklahoma Sooners,Golden State Warriors,$729 billion
D'Angelo Russell,Ohio State Buckeyes,Los Angeles Lakers,1000000.0
George,"California State University, Fresno",Indiana Pacers,"$42,704 (median household income), $53,161 (median family income)"
Kyrie Andrew Irving,Duke Blue Devils,Dallas Mavericks,
Jayson Tatum,Duke Blue Devils,Boston Celtics,
Andrew Christian Wiggins,University of Kansas,Golden State Warriors,$729 billion
Jaylen Marselles Brown,"University of California, Berkeley",Boston Celtics,
Victor Wembanyama,,San Antonio Spurs,$121 billion
Jrue Holiday,UCLA Bruins,Boston Celtics,
Kevin Wesley Love,UCLA Bruins,Cleveland Cavaliers,$176 billion
Giannis Antetokounmpo,,Milwaukee Bucks,10200000000.0
Wardell Stephen Curry II,Davidson,Golden State Warriors,$729 billion
Al Horford,University of Florida,Boston Celtics,
Tyler Herro,University of Kentucky,Miami Heat,344900000000.0
Duncan McBryde Robinson,"Williams College, University of Michigan",Miami Heat,344900000000.0
Anthony Marshon Davis Jr.,Kentucky Wildcats,Los Angeles Lakers,1000000.0
Kyle Anderson,UCLA Bruins,Golden State Warriors,$729 billion
LeBron Raymone James Sr.,,Los Angeles Lakers,1000000.0
Jimmy Butler,"Tyler Junior College, Marquette University",Miami Heat,344900000000.0
Kevon Looney,UCLA Bruins,Golden State Warriors,$729 billion
Zach LaVine,UCLA,Chicago Bulls,689000000000.0
Draymond Jamal Green,Michigan State Spartans,Golden State Warriors,$729 billion
Zach Collins,Gonzaga,San Antonio Spurs,$121 billion
Jonathan Kuminga,The Patrick School,Golden State Warriors,$729 billion
Lonzo Anderson Ball,UCLA Bruins,Chicago Bulls,689000000000.0
Jaime Jaquez Jr.,UCLA Bruins,Miami Heat,344900000000.0
Shaquille Rashaun O'Neal,LSU Tigers,Los Angeles Lakers,1000000.0
Christopher Emmanuel Paul,Wake Forest University,San Antonio Spurs,$121 billion
Harrison Bryce Jordan Barnes,University of North Carolina,San Antonio Spurs,$121 billion
Bam Adebayo,University of Kentucky,Miami Heat,344900000000.0
Carrick Felix,Arizona State,Cleveland Cavaliers,$176 billion
Jay Fletcher Vincent,Michigan State University,Dallas Mavericks,
Dwayne Schintzius,University of Florida,San Antonio Spurs,$121 billion
Vernon Maxwell,University of Florida,Houston Rockets,
Timothy Theodore Duncan,Wake Forest Demon Deacons,San Antonio Spurs,$121 billion
Derrick Joseph Chievous,University of Missouri,Houston Rockets,
Rik Smits,Marist College,Indiana Pacers,"$42,704 (median household income), $53,161 (median family income)"
Anthony Edwards,University of Georgia,Minnesota Timberwolves,69397.0
Darnell Hillman,San Jose State University,Indiana Pacers,"$42,704 (median household income), $53,161 (median family income)"
Mark Price William Mark Price,Georgia Tech,Cleveland Cavaliers,$176 billion
"Dewayne ""D. J."" White, Jr.",Indiana Hoosiers,Cleveland Cavaliers,$176 billion
Joseph Xavier Forte,University of North Carolina at Chapel Hill,Boston Celtics,
Kermit Alan Washington,American University,Los Angeles Lakers,1000000.0
John Lucas II,University of Maryland,Houston Rockets,
Garfield Smith,,Boston Celtics,
Trayce Jackson-Davis,Indiana Hoosiers,Golden State Warriors,$729 billion
