name,team_name,city_name,state_name
Buddy Hield,Golden State Warriors,San Francisco,California
D'Angelo Russell,Los Angeles Lakers,Los Angeles,California
George,Indiana Pacers,Indianapolis,Indiana
Kyrie Andrew Irving,Dallas Mavericks,Dallas,Texas
Jayson Tatum,Boston Celtics,Boston,Massachusetts
Andrew Christian Wiggins,Golden State Warriors,San Francisco,California
Jaylen Marselles Brown,Boston Celtics,Boston,Massachusetts
Victor Wembanyama,San Antonio Spurs,San Antonio,Texas
Jrue Holiday,Boston Celtics,Boston,Massachusetts
Kevin Wesley Love,Cleveland Cavaliers,Cleveland,Ohio
Giannis Antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
Wardell Stephen Curry II,Golden State Warriors,San Francisco,California
Al Horford,Boston Celtics,Boston,Massachusetts
Tyler Herro,Miami Heat,Miami,Florida
Duncan McBryde Robinson,Miami Heat,Miami,Florida
Anthony Marshon Davis Jr.,Los Angeles Lakers,Los Angeles,California
Kyle Anderson,Golden State Warriors,San Francisco,California
LeBron Raymone James Sr.,Los Angeles Lakers,Los Angeles,California
Jimmy Butler,Miami Heat,Miami,Florida
Kevon Looney,Golden State Warriors,San Francisco,California
Zach LaVine,Chicago Bulls,Chicago,Illinois
Draymond Jamal Green,Golden State Warriors,San Francisco,California
Zach Collins,San Antonio Spurs,San Antonio,Texas
Jonathan Kuminga,Golden State Warriors,San Francisco,California
Lonzo Anderson Ball,Chicago Bulls,Chicago,Illinois
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Shaquille Rashaun O'Neal,Los Angeles Lakers,Los Angeles,California
Kobe Bean Bryant,Los Angeles Lakers,Los Angeles,California
Christopher Emmanuel Paul,San Antonio Spurs,San Antonio,Texas
Harrison Bryce Jordan Barnes,San Antonio Spurs,San Antonio,Texas
Bam Adebayo,Miami Heat,Miami,Florida
Carrick Felix,Cleveland Cavaliers,Cleveland,Ohio
Jay Fletcher Vincent,Dallas Mavericks,Dallas,Texas
Dwayne Schintzius,San Antonio Spurs,San Antonio,Texas
Vernon Maxwell,Houston Rockets,Houston,Texas
Timothy Theodore Duncan,San Antonio Spurs,San Antonio,Texas
Derrick Joseph Chievous,Houston Rockets,Houston,Texas
Rik Smits,Indiana Pacers,Indianapolis,Indiana
Anthony Edwards,Minnesota Timberwolves,Minneapolis,Minnesota
Darnell Hillman,Indiana Pacers,Indianapolis,Indiana
Mark Price William Mark Price,Cleveland Cavaliers,Cleveland,Ohio
Kurt Vincent Thomas,Miami Heat,Miami,Florida
Lamar Brandon Stevens,Boston Celtics,Boston,Massachusetts
"Dewayne ""D. J."" White, Jr.",Cleveland Cavaliers,Cleveland,Ohio
Joseph Xavier Forte,Boston Celtics,Boston,Massachusetts
Erick Strickland,Dallas Mavericks,Dallas,Texas
Kermit Alan Washington,Los Angeles Lakers,Los Angeles,California
John Lucas II,Houston Rockets,Houston,Texas
Garfield Smith,Boston Celtics,Boston,Massachusetts
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
