team_name,location,city_name,state_name
Atlanta Hawks,Atlanta,Atlanta,Georgia
Golden State Warriors,San Francisco,San Francisco,California
Houston Rockets,Houston,Houston,Texas
Indiana Pacers,Indianapolis,Indianapolis,Indiana
Los Angeles Lakers,Los Angeles,Los Angeles,California
Miami Heat,Miami,Miami,Florida
Milwaukee Bucks,Milwaukee,Milwaukee,Wisconsin
Minnesota Timberwolves,Minneapolis,Minneapolis,Minnesota
New Orleans Pelicans,New Orleans,New Orleans,Louisiana
Boston Celtics,Boston,Boston,Massachusetts
Thunder,Oklahoma City,Oklahoma City,Oklahoma
76ers,Philadelphia,Philadelphia,Pennsylvania
San Antonio Spurs,San Antonio,San Antonio,Texas
Toronto Raptors,Toronto,Toronto,Ontario
New Orleans Jazz,New Orleans,New Orleans,Louisiana
Chicago Bulls,Chicago,Chicago,Illinois
Cleveland Cavaliers,Cleveland,Cleveland,Ohio
Dallas Mavericks,Dallas,Dallas,Texas
Denver Nuggets,Denver,Denver,Colorado
