name,nationality,age,team_name,location
Buddy Hield,Bahamian,32.0,Golden State Warriors,San Francisco
D'Angelo Russell,American,27.0,Los Angeles Lakers,Los Angeles
George,,25.0,Indiana Pacers,Indianapolis
Kyrie Andrew Irving,American,33.0,Dallas Mavericks,Dallas
Jayson Tatum,American,28.0,Boston Celtics,Boston
Andrew Christian Wiggins,Canadian,29.0,Golden State Warriors,San Francisco
OG Anunoby Ogugua,British,25.98472222222222,New York Knicks,Manhattan
Jaylen Marselles Brown,American,27.0,Boston Celtics,Boston
Victor Wembanyama,French,21.0,San Antonio Spurs,San Antonio
Jrue Holiday,American,34.5,Boston Celtics,Boston
Kevin Wesley Love,American,36.0,Cleveland Cavaliers,Cleveland
Giannis Antetokounmpo,Greek and Nigerian,30.0,Milwaukee Bucks,Milwaukee
Wardell Stephen Curry II,American,37.0,Golden State Warriors,San Francisco
Al Horford,Dominican,38.0,Boston Celtics,Boston
Tyler Herro,American,25.0,Miami Heat,Miami
Duncan McBryde Robinson,American,31.0,Miami Heat,Miami
Anthony Marshon Davis Jr.,American,32.0,Los Angeles Lakers,Los Angeles
Kyle Anderson,American-Chinese,31.0,Golden State Warriors,San Francisco
Cade Cunningham Cade Parker Cunningham,American,23.0,Detroit Pistons,Downtown Detroit
LeBron Raymone James Sr.,American-born naturalized Azerbaijani,40.0,Los Angeles Lakers,Los Angeles
Jimmy Butler,American,35.0,Miami Heat,Miami
Kevon Looney,American,27.0,Golden State Warriors,San Francisco
Zach LaVine,American,28.0,Chicago Bulls,Chicago
Jaden Edward Dhananjay Ivey,American,21.0,Detroit Pistons,Downtown Detroit
Michael Jeffrey Jordan,American-born naturalized Azerbaijani,21.0,Charlotte Hornets,"Charlotte, North Carolina"
Devin Armani Booker,American-born naturalized Azerbaijani,28.0,Phoenix Suns,"Phoenix, Arizona"
Draymond Jamal Green,American,35.0,Golden State Warriors,San Francisco
Zach Collins,American,27.0,San Antonio Spurs,San Antonio
Jonathan Kuminga,Congolese,21.0,Golden State Warriors,San Francisco
Lonzo Anderson Ball,American,27.0,Chicago Bulls,Chicago
Jaime Jaquez Jr.,Mexican-American,24.0,Miami Heat,Miami
Ausar Thompson,American,22.0,Detroit Pistons,Downtown Detroit
Jalen Marquis Brunson,American,28.0,New York Knicks,Manhattan
Shaquille Rashaun O'Neal,American,53.0,Los Angeles Lakers,Los Angeles
Kobe Bean Bryant,American,17.0,Los Angeles Lakers,Los Angeles
Christopher Emmanuel Paul,American,39.0,San Antonio Spurs,San Antonio
Harrison Bryce Jordan Barnes,American,32.0,San Antonio Spurs,San Antonio
Bam Adebayo,American-born naturalized Nigerian,28.0,Miami Heat,Miami
Carrick Felix,American,34.0,Cleveland Cavaliers,Cleveland
"Kenneth ""Apple"" Green",American,65.97222222222221,New York Knicks,Manhattan
Jay Fletcher Vincent,American,,Dallas Mavericks,Dallas
Kelvin Trent Tucker,American,,New York Knicks,Manhattan
Dwayne Schintzius,American,,San Antonio Spurs,San Antonio
Vernon Maxwell,American,,Houston Rockets,Houston
Timothy Theodore Duncan,American-born naturalized American,36.0,San Antonio Spurs,San Antonio
Tony Delk,American,,Charlotte Hornets,"Charlotte, North Carolina"
Derrick Joseph Chievous,American,,Houston Rockets,Houston
Rik Smits,Dutch,58.0,Indiana Pacers,Indianapolis
Anthony Edwards,American,24.0,Minnesota Timberwolves,Minneapolis
,,,New York Knicks,Manhattan
Darnell Hillman,American,73.95205479452055,Indiana Pacers,Indianapolis
Mark Price William Mark Price,American,,Cleveland Cavaliers,Cleveland
Kurt Vincent Thomas,American,52.976301369863,Miami Heat,Miami
Kevin Wayne Durant,American,36.0,Phoenix Suns,"Phoenix, Arizona"
William Bedford,American,,Phoenix Suns,"Phoenix, Arizona"
Shawn Respert,American,,Portland Trail Blazers,"Portland, Oregon"
,,,Portland Trail Blazers,"Portland, Oregon"
Lamar Brandon Stevens,American,25.0,Boston Celtics,Boston
"Dewayne ""D. J."" White, Jr.",,,Cleveland Cavaliers,Cleveland
Joseph Xavier Forte,American,44.0,Boston Celtics,Boston
Jabari Dominic Walker,American,23.0,Portland Trail Blazers,"Portland, Oregon"
Erick Strickland,American,,Dallas Mavericks,Dallas
,,40.0,Brooklyn Nets,Brooklyn
Kermit Alan Washington,American,21.0,Los Angeles Lakers,Los Angeles
Greg Fillmore,,,New York Knicks,Manhattan
John Lucas II,American,,Houston Rockets,Houston
Garfield Smith,American,,Boston Celtics,Boston
Dennis Schröder,German,31.0,Brooklyn Nets,Brooklyn
Trayce Jackson-Davis,American,24.0,Golden State Warriors,San Francisco
