city_name,state_name,team_name,name
San Francisco,California,Golden State Warriors,Buddy Hield
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell
Indianapolis,Indiana,Indiana Pacers,George
Dallas,Texas,Dallas Mavericks,Kyrie Andrew Irving
Boston,Massachusetts,Boston Celtics,Jayson Tatum
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama
Boston,Massachusetts,Boston Celtics,Jrue Holiday
Cleveland,Ohio,Cleveland Cavaliers,Kevin Wesley Love
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo
San Francisco,California,Golden State Warriors,Wardell Stephen Curry II
Boston,Massachusetts,Boston Celtics,Al Horford
Miami,Florida,Miami Heat,Tyler Herro
Miami,Florida,Miami Heat,Duncan McBryde Robinson
Los Angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.
San Francisco,California,Golden State Warriors,Kyle Anderson
Miami,Florida,Miami Heat,Jimmy Butler
San Francisco,California,Golden State Warriors,Kevon Looney
Chicago,Illinois,Chicago Bulls,Zach LaVine
San Francisco,California,Golden State Warriors,Draymond Jamal Green
San Antonio,Texas,San Antonio Spurs,Zach Collins
San Francisco,California,Golden State Warriors,Jonathan Kuminga
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball
Miami,Florida,Miami Heat,Jaime Jaquez Jr.
Los Angeles,California,Los Angeles Lakers,Kobe Bean Bryant
San Antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes
Miami,Florida,Miami Heat,Bam Adebayo
Cleveland,Ohio,Cleveland Cavaliers,Carrick Felix
San Antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards
Boston,Massachusetts,Boston Celtics,Lamar Brandon Stevens
Los Angeles,California,Los Angeles Lakers,Kermit Alan Washington
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis
