city_name,state_name,team_name,name,college
San Francisco,California,Golden State Warriors,Buddy Hield,Oklahoma Sooners
Los Angeles,California,Los Angeles Lakers,D'Angelo Russell,Ohio State Buckeyes
Indianapolis,Indiana,Indiana Pacers,George,"California State University, Fresno"
Dallas,Texas,Dallas Mavericks,Kyrie Andrew Irving,Duke Blue Devils
Boston,Massachusetts,Boston Celtics,Jayson Tatum,Duke Blue Devils
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins,University of Kansas
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,"University of California, Berkeley"
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama,
Boston,Massachusetts,Boston Celtics,Jrue Holiday,UCLA Bruins
Cleveland,Ohio,Cleveland Cavaliers,Kevin Wesley Love,UCLA Bruins
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,
San Francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson
Boston,Massachusetts,Boston Celtics,Al Horford,University of Florida
Miami,Florida,Miami Heat,Tyler Herro,University of Kentucky
Miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College, University of Michigan"
Los Angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,Kentucky Wildcats
San Francisco,California,Golden State Warriors,Kyle Anderson,UCLA Bruins
Los Angeles,California,Los Angeles Lakers,LeBron Raymone James Sr.,
Miami,Florida,Miami Heat,Jimmy Butler,"Tyler Junior College, Marquette University"
San Francisco,California,Golden State Warriors,Kevon Looney,UCLA Bruins
Chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA
San Francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State Spartans
San Antonio,Texas,San Antonio Spurs,Zach Collins,Gonzaga
San Francisco,California,Golden State Warriors,Jonathan Kuminga,The Patrick School
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA Bruins
Miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins
Los Angeles,California,Los Angeles Lakers,Shaquille Rashaun O'Neal,LSU Tigers
San Antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,Wake Forest University
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,University of North Carolina
Miami,Florida,Miami Heat,Bam Adebayo,University of Kentucky
Cleveland,Ohio,Cleveland Cavaliers,Carrick Felix,Arizona State
San Antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan,Wake Forest Demon Deacons
Indianapolis,Indiana,Indiana Pacers,Rik Smits,Marist College
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,University of Georgia
Indianapolis,Indiana,Indiana Pacers,Darnell Hillman,San Jose State University
Miami,Florida,Miami Heat,Kurt Vincent Thomas,Texas Christian University
Boston,Massachusetts,Boston Celtics,Lamar Brandon Stevens,Penn State Nittany Lions
Boston,Massachusetts,Boston Celtics,Joseph Xavier Forte,University of North Carolina at Chapel Hill
Los Angeles,California,Los Angeles Lakers,Kermit Alan Washington,American University
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana Hoosiers
