name,position,city_name,population
Buddy Hield,Backcourt,San Francisco,873965.0
D'Angelo Russell,Point Guard,Los Angeles,621000.0
George,Small forward,Indianapolis,880621.0
Kyrie Andrew Irving,,Dallas,1299544.0
Jayson Tatum,Forward,Boston,691531.0
Andrew Christian Wiggins,Forward,San Francisco,873965.0
Jaylen Marselles Brown,Shooting Guard,Boston,691531.0
Victor Wembanyama,,San Antonio,2013793.0
Jrue Holiday,Backcourt,Boston,691531.0
Giannis Antetokounmpo,Power Forward,Milwaukee,577222.0
Tyler Herro,Point Guard,Miami,442241.0
Duncan McBryde Robinson,Backcourt,Miami,442241.0
Anthony Marshon Davis Jr.,Power forward,Los Angeles,621000.0
Kyle Anderson,Forward,San Francisco,873965.0
Kevon Looney,Backcourt,San Francisco,873965.0
Zach LaVine,Backcourt,Chicago,2746388.0
Zach Collins,Center,San Antonio,2013793.0
Jonathan Kuminga,Small forward,San Francisco,873965.0
Lonzo Anderson Ball,Point guard,Chicago,2746388.0
Jaime Jaquez Jr.,,Miami,442241.0
Kobe Bean Bryant,Backcourt,Los Angeles,621000.0
Harrison Bryce Jordan Barnes,,San Antonio,2013793.0
Bam Adebayo,Backcourt,Miami,442241.0
Carrick Felix,Shooting Guard,Cleveland,372624.0
Anthony Edwards,Shooting Guard,Minneapolis,429954.0
Lamar Brandon Stevens,Backcourt,Boston,691531.0
Kermit Alan Washington,Big defensive forward,Los Angeles,621000.0
Trayce Jackson-Davis,Forward,San Francisco,873965.0
