name,draft_pick,college,team_name
Buddy Hield,6,Oklahoma Sooners,Golden State Warriors
D'Angelo Russell,2,Ohio State Buckeyes,Los Angeles Lakers
George,10,"California State University, Fresno",Indiana Pacers
Kyrie Andrew Irving,1,Duke Blue Devils,Dallas Mavericks
Jayson Tatum,3,Duke Blue Devils,Boston Celtics
Andrew Christian Wiggins,1,University of Kansas,Golden State Warriors
OG Anunoby Ogugua,23,Indiana University,New York Knicks
Jaylen Marselles Brown,3,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1,,San Antonio Spurs
Jrue Holiday,17,UCLA Bruins,Boston Celtics
Kevin Wesley Love,5,UCLA Bruins,Cleveland Cavaliers
Giannis Antetokounmpo,15,,Milwaukee Bucks
Wardell Stephen Curry II,17,Davidson,Golden State Warriors
Al Horford,3,University of Florida,Boston Celtics
Tyler Herro,13,University of Kentucky,Miami Heat
Duncan McBryde Robinson,undrafted,"Williams College, University of Michigan",Miami Heat
Anthony Marshon Davis Jr.,1,Kentucky Wildcats,Los Angeles Lakers
Kyle Anderson,30,UCLA Bruins,Golden State Warriors
Cade Cunningham Cade Parker Cunningham,1,Oklahoma State,Detroit Pistons
LeBron Raymone James Sr.,1,,Los Angeles Lakers
Jimmy Butler,30,"Tyler Junior College, Marquette University",Miami Heat
Kevon Looney,30,UCLA Bruins,Golden State Warriors
Zach LaVine,13,UCLA,Chicago Bulls
Jaden Edward Dhananjay Ivey,5,Purdue Boilermakers,Detroit Pistons
Michael Jeffrey Jordan,3,North Carolina Tar Heels,Charlotte Hornets
Devin Armani Booker,13,University of Kentucky,Phoenix Suns
Draymond Jamal Green,35,Michigan State Spartans,Golden State Warriors
Zach Collins,10,Gonzaga,San Antonio Spurs
Jonathan Kuminga,7,The Patrick School,Golden State Warriors
Lonzo Anderson Ball,2,UCLA Bruins,Chicago Bulls
Jaime Jaquez Jr.,18,UCLA Bruins,Miami Heat
Ausar Thompson,5,,Detroit Pistons
Jalen Marquis Brunson,33,Villanova University,New York Knicks
Shaquille Rashaun O'Neal,1,LSU Tigers,Los Angeles Lakers
Christopher Emmanuel Paul,4,Wake Forest University,San Antonio Spurs
Harrison Bryce Jordan Barnes,7,University of North Carolina,San Antonio Spurs
Bam Adebayo,14,University of Kentucky,Miami Heat
Carrick Felix,33,Arizona State,Cleveland Cavaliers
"Kenneth ""Apple"" Green",11,Pan American University,New York Knicks
Jay Fletcher Vincent,24,Michigan State University,Dallas Mavericks
Kelvin Trent Tucker,6,University of Minnesota,New York Knicks
Dwayne Schintzius,24,University of Florida,San Antonio Spurs
Vernon Maxwell,second round of the 1988 NBA draft,University of Florida,Houston Rockets
Timothy Theodore Duncan,1,Wake Forest Demon Deacons,San Antonio Spurs
Tony Delk,16,University of Kentucky,Charlotte Hornets
Derrick Joseph Chievous,16,University of Missouri,Houston Rockets
Rik Smits,2,Marist College,Indiana Pacers
Anthony Edwards,1,University of Georgia,Minnesota Timberwolves
,20th pick,,New York Knicks
Darnell Hillman,8,San Jose State University,Indiana Pacers
Mark Price William Mark Price,25,Georgia Tech,Cleveland Cavaliers
Kevin Wayne Durant,2,University of Texas,Phoenix Suns
William Bedford,6,University of Memphis,Phoenix Suns
Shawn Respert,8,Michigan State University,Portland Trail Blazers
"Dewayne ""D. J."" White, Jr.",29,Indiana Hoosiers,Cleveland Cavaliers
Joseph Xavier Forte,21,University of North Carolina at Chapel Hill,Boston Celtics
Jabari Dominic Walker,57,University of Colorado Boulder,Portland Trail Blazers
Kermit Alan Washington,5,American University,Los Angeles Lakers
John Lucas II,1,University of Maryland,Houston Rockets
Garfield Smith,10,,Boston Celtics
Dennis Schröder,17,,Brooklyn Nets
Trayce Jackson-Davis,57,Indiana Hoosiers,Golden State Warriors
