name,birth_date,team_name,area
Andrew Christian Wiggins,1995/2/23,Golden State Warriors,232
Brandan Keith Wright,1987/10/5,Golden State Warriors,232
Buddy Hield Chavano Rainer,1992/12/17,Golden State Warriors,232
Draymond Jamal Green,1990/3/4,Golden State Warriors,232
Jonathan Malangu Kuminga,2002/10/6,Golden State Warriors,232
Jordan Lee Crawford,1988/10/23,Golden State Warriors,232
Kevon Looney,1996/2/6,Golden State Warriors,232
Kyle Anderson,1993/9/20,Golden State Warriors,232
Trayce Jackson-Davis,2000/2/22,Golden State Warriors,232
Wardell Stephen Curry II,1988/3/14,Golden State Warriors,232
Aaron Williams,1971/10/2,Utah Jazz,286
Dennis Schröder,1993/9/15,Toronto Raptors,630
,,Phoenix Suns,517.9
Devin Armani Booker,1996/10/30,Phoenix Suns,517.9
William Bedford,1963/12/14,Phoenix Suns,517.9
Al Horford,1986/6/3,Boston Celtics,232.1
Garfield Smith,1945/11/18,Boston Celtics,232.1
Jaylen Marselles Brown,1996/10/24,Boston Celtics,232.1
Jayson Tatum,1998/3/3,Boston Celtics,232.1
Jrue Holiday,1990/6/12,Boston Celtics,232.1
"Dewayne ""D. J."" White, Jr.",1986/8/31,Cleveland Cavaliers,82.47
Lamar Brandon Stevens,1997/7/9,Cleveland Cavaliers,82.47
Mark Price William Mark Price,1964/2/15,Cleveland Cavaliers,82.47
Derrick Joseph Chievous,1967/7/3,Houston Rockets,637.4
John Harding Lucas II,1953/10/31,Houston Rockets,637.4
Vernon Maxwell,1965/9/12,Houston Rockets,637.4
Shaquille Rashaun O'Neal,1972/3/6,Sacramento Kings,100.1
Anthony Avent,1969/10/18,Milwaukee Bucks,250.71
Giannis Antetokounmpo,1994/12/6,Milwaukee Bucks,250.71
Rik Smits,1966/8/23,Indiana Pacers,367.9
Erick Strickland,1973/11/25,Dallas Mavericks,385.8
Jay Fletcher Vincent,1959/6/10,Dallas Mavericks,385.8
Kyrie Irving,1992/3/23,Dallas Mavericks,385.8
Christopher Emmanuel Paul,1985/5/6,San Antonio Spurs,1205.4
Harrison Bryce Jordan Barnes,1992/5/30,San Antonio Spurs,1205.4
Timothy Theodore Duncan,1976/4/25,San Antonio Spurs,1205.4
Victor Wembanyama,2004/1/4,San Antonio Spurs,1205.4
Zach Collins,1997/11/19,San Antonio Spurs,1205.4
Anthony Edwards,2001/8/5,Minnesota Timberwolves,152.8
