name,draft_pick,college,team_name
Buddy Hield Chavano Rainer,6,Oklahoma Sooners,Golden State Warriors
D'Angelo Russell,2,Ohio State Buckeyes,Los Angeles Lakers
Joel Hans Embiid,3,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10,Fresno State Bulldogs,Philadelphia 76ers
Kyrie Irving,1,Duke Blue Devils,Dallas Mavericks
Jayson Tatum,3,Duke Blue Devils,Boston Celtics
Caleb Martin,17,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
Andrew Christian Wiggins,1,University of Kansas,Golden State Warriors
OG Anunoby Ogugua,23,Indiana University,New York Knicks
Jaylen Marselles Brown,3,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1,,San Antonio Spurs
Jrue Holiday,17,UCLA,Boston Celtics
Austin Tyler Reaves,17,"Wichita State Shockers  , Oklahoma Sooners",Los Angeles Lakers
Kevin Wesley Love,5,UCLA Bruins,Miami Heat
Giannis Antetokounmpo,15,Filathlitikos,Milwaukee Bucks
Wardell Stephen Curry II,7,Davidson,Golden State Warriors
Al Horford,3,University of Florida,Boston Celtics
Tyler Herro,13,University of Kentucky,Miami Heat
Duncan McBryde Robinson,17,"Williams College Ephs, Michigan Wolverines",Miami Heat
Anthony Marshon Davis Jr.,1,University of Kentucky,Los Angeles Lakers
Kyle Anderson,30,UCLA Bruins,Golden State Warriors
LeBron Raymone James Sr.,1,,Los Angeles Lakers
Jimmy Butler III,30,Tyler Junior College,Miami Heat
Kevon Looney,30,UCLA Bruins,Golden State Warriors
Zach LaVine,13,UCLA Bruins,Chicago Bulls
Kyle Lowry,24,Villanova Wildcats,Philadelphia 76ers
Devin Armani Booker,13,University of Kentucky,Phoenix Suns
Brandan Keith Wright,8,University of North Carolina at Chapel Hill,Golden State Warriors
Draymond Jamal Green,35,Michigan State University,Golden State Warriors
Zach Collins,10,Gonzaga Bulldogs,San Antonio Spurs
Jonathan Malangu Kuminga,7,,Golden State Warriors
Lonzo Anderson Ball,2,UCLA Bruins,Chicago Bulls
Jaime Jaquez Jr.,18,UCLA Bruins,Miami Heat
Jalen Marquis Brunson,33,Villanova University,New York Knicks
Shaquille Rashaun O'Neal,1,LSU,Sacramento Kings
Kobe Bean Bryant,13,Lower Merion High School,Los Angeles Lakers
Christopher Emmanuel Paul,4,Wake Forest University,San Antonio Spurs
Harrison Bryce Jordan Barnes,7,University of North Carolina at Chapel Hill,San Antonio Spurs
Bam Adebayo,14,University of Kentucky,Miami Heat
"Kenneth ""Apple"" Green",11,,New York Knicks
Jay Fletcher Vincent,24,Michigan State University,Dallas Mavericks
Anthony Avent,15,Seton Hall University,Milwaukee Bucks
Drew Edward Gordon,17,UCLA Bruins,Philadelphia 76ers
"Earvin ""Magic"" Johnson Jr.",1,Michigan State,Los Angeles Lakers
Daniel Edward Anderson,2nd pick of the sixth round,,Portland Trail Blazers
Vernon Maxwell,17,University of Florida,Houston Rockets
Timothy Theodore Duncan,1,Wake Forest University,San Antonio Spurs
Derrick Joseph Chievous,16,University of Missouri,Houston Rockets
Rik Smits,2,Marist College,Indiana Pacers
Anthony Edwards,1,Georgia Bulldogs,Minnesota Timberwolves
Gallatin,20th pick,SIU Edwardsville,New York Knicks
Mark Price William Mark Price,25,Georgia Tech,Cleveland Cavaliers
William Bedford,6,Memphis State University,Phoenix Suns
Shawn Respert,8,Michigan State,Portland Trail Blazers
"Dewayne ""D. J."" White, Jr.",29,Indiana Hoosiers,Cleveland Cavaliers
,50,University of Arizona,Phoenix Suns
Jabari Dominic Walker,57,Colorado Buffaloes,Portland Trail Blazers
Jordan Lee Crawford,27,Indiana University,Golden State Warriors
Kermit Alan Washington,5,American University,Los Angeles Lakers
Greg Fillmore,8th round,,New York Knicks
John Harding Lucas II,1,University of Maryland,Houston Rockets
Garfield Smith,10,,Boston Celtics
Dennis Schröder,17,,Toronto Raptors
Trayce Jackson-Davis,57,Indiana,Golden State Warriors
Andre Drummond,9,University of Connecticut,Philadelphia 76ers
