name,position,city_name,population
Buddy Hield Chavano Rainer,,San Francisco,808988.0
Kyrie Irving,Point Guard,Dallas,1304379.0
Jayson Tatum,Frontcourt,Boston,691531.0
Andrew Christian Wiggins,Frontcourt,San Francisco,808988.0
Jaylen Marselles Brown,Shooting guard and small forward,Boston,691531.0
Victor Wembanyama,Frontcourt,San Antonio,2608722.0
Jrue Holiday,Backcourt,Boston,691531.0
Giannis Antetokounmpo,forward,Milwaukee,577222.0
Tyler Herro,Backcourt,Miami,442241.0
Duncan McBryde Robinson,Backcourt,Miami,442241.0
Kyle Anderson,Backcourt,San Francisco,808988.0
Kevon Looney,Frontcourt,San Francisco,808988.0
Zach LaVine,Backcourt,Chicago,2746388.0
Devin Armani Booker,Backcourt,Phoenix,1662607.0
Jonathan Malangu Kuminga,Frontcourt,San Francisco,808988.0
Lonzo Anderson Ball,Point guard,Chicago,2746388.0
Jaime Jaquez Jr.,Forward,Miami,442241.0
Harrison Bryce Jordan Barnes,Frontcourt,San Antonio,2608722.0
Bam Adebayo,Frontcourt,Miami,442241.0
Anthony Edwards,Shooting Guard,Minneapolis,429954.0
John Harding Lucas II,,Houston,2314157.0
Garfield Smith,,Boston,691531.0
Dennis Schröder,Frontcourt,Toronto,9000.0
Trayce Jackson-Davis,Forward,San Francisco,808988.0
