name,nationality,age,team_name,location
Buddy Hield Chavano Rainer,,32.0,Golden State Warriors,San Francisco
D'Angelo Russell,,28.0,Los Angeles Lakers,Downtown Los Angeles
Joel Hans Embiid,Cameroonian-American,32.0,Philadelphia 76ers,"Camden, New Jersey"
Paul Clifton Anthony George,American,35.0,Philadelphia 76ers,"Camden, New Jersey"
Kyrie Irving,American,33.0,Dallas Mavericks,Dallas
Jayson Tatum,,26.0,Boston Celtics,Boston
Caleb Martin,American,30.0,Philadelphia 76ers,"Camden, New Jersey"
Andrew Christian Wiggins,Canadian,28.0,Golden State Warriors,San Francisco
Max Fiedler,American,24.0,Philadelphia 76ers,"Camden, New Jersey"
OG Anunoby Ogugua,British,28.0,New York Knicks,Manhattan
Jaylen Marselles Brown,American,28.0,Boston Celtics,Boston
Victor Wembanyama,French,21.0,San Antonio Spurs,San Antonio
Jrue Holiday,,34.0,Boston Celtics,Boston
Austin Tyler Reaves,American,27.0,Los Angeles Lakers,Downtown Los Angeles
Kevin Wesley Love,American,36.0,Miami Heat,Miami
Giannis Antetokounmpo,Greek and Nigerian,30.0,Milwaukee Bucks,Milwaukee
Wardell Stephen Curry II,American,37.0,Golden State Warriors,San Francisco
Al Horford,Dominican,38.0,Boston Celtics,Boston
Tyler Herro,,24.0,Miami Heat,Miami
Duncan McBryde Robinson,American,31.0,Miami Heat,Miami
Anthony Marshon Davis Jr.,American-born naturalized Azerbaijani,32.0,Los Angeles Lakers,Downtown Los Angeles
Kyle Anderson,American-Chinese,32.0,Golden State Warriors,San Francisco
LeBron Raymone James Sr.,American,41.0,Los Angeles Lakers,Downtown Los Angeles
Jimmy Butler III,American,35.0,Miami Heat,Miami
Kevon Looney,American,28.0,Golden State Warriors,San Francisco
Zach LaVine,American,30.0,Chicago Bulls,Chicago
Kyle Lowry,American,,Philadelphia 76ers,"Camden, New Jersey"
Devin Armani Booker,American-born naturalized Azerbaijani,28.0,Phoenix Suns,Phoenix
Brandan Keith Wright,,,Golden State Warriors,San Francisco
Draymond Jamal Green,American,35.0,Golden State Warriors,San Francisco
Zach Collins,American,,San Antonio Spurs,San Antonio
Jonathan Malangu Kuminga,Congolese,22.0,Golden State Warriors,San Francisco
Lonzo Anderson Ball,,28.0,Chicago Bulls,Chicago
Jaime Jaquez Jr.,Mexican-American,24.0,Miami Heat,Miami
Jalen Marquis Brunson,American,27.0,New York Knicks,Manhattan
Shaquille Rashaun O'Neal,American,53.0,Sacramento Kings,Sacramento
Kobe Bean Bryant,American,46.0,Los Angeles Lakers,Downtown Los Angeles
Christopher Emmanuel Paul,American,40.0,San Antonio Spurs,San Antonio
Harrison Bryce Jordan Barnes,American,33.0,San Antonio Spurs,San Antonio
Bam Adebayo,American-born naturalized Nigerian,28.0,Miami Heat,Miami
"Kenneth ""Apple"" Green",,,New York Knicks,Manhattan
Jay Fletcher Vincent,American,,Dallas Mavericks,Dallas
Anthony Avent,American,,Milwaukee Bucks,Milwaukee
Drew Edward Gordon,American,34.0,Philadelphia 76ers,"Camden, New Jersey"
"Earvin ""Magic"" Johnson Jr.",American,66.0,Los Angeles Lakers,Downtown Los Angeles
Vernon Maxwell,American,,Houston Rockets,Houston
Timothy Theodore Duncan,American-born naturalized American,48.0,San Antonio Spurs,San Antonio
Derrick Joseph Chievous,,,Houston Rockets,Houston
Rik Smits,Dutch,,Indiana Pacers,Indianapolis
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minneapolis
Gallatin,,,New York Knicks,Manhattan
Mark Price William Mark Price,American,,Cleveland Cavaliers,Cleveland
Kurt Vincent Thomas,American,,Miami Heat,Miami
Aaron Williams,American,53.0,Utah Jazz,Salt Lake City
William Bedford,American,,Phoenix Suns,Phoenix
Shawn Respert,American,,Portland Trail Blazers,"Portland, Oregon"
,,,Portland Trail Blazers,"Portland, Oregon"
Lamar Brandon Stevens,American,,Cleveland Cavaliers,Cleveland
"Dewayne ""D. J."" White, Jr.",,,Cleveland Cavaliers,Cleveland
,,,Phoenix Suns,Phoenix
William Severlyn Hewitt,American,80.0,Los Angeles Lakers,Downtown Los Angeles
Jabari Dominic Walker,American,33.0,Portland Trail Blazers,"Portland, Oregon"
Erick Strickland,American,51.0,Dallas Mavericks,Dallas
,,40.0,Brooklyn Nets,Brooklyn
Jordan Lee Crawford,American,,Golden State Warriors,San Francisco
Kermit Alan Washington,American,21.0,Los Angeles Lakers,Downtown Los Angeles
Greg Fillmore,,,New York Knicks,Manhattan
John Harding Lucas II,American,33.0,Houston Rockets,Houston
Garfield Smith,American,-79.0,Boston Celtics,Boston
Dennis Schröder,German,32.0,Toronto Raptors,Toronto
Trayce Jackson-Davis,American,24.0,Golden State Warriors,San Francisco
Andre Drummond,,32.0,Philadelphia 76ers,"Camden, New Jersey"
