name,team_name,city_name,state_name
Buddy Hield Chavano Rainer,Golden State Warriors,San Francisco,California
Kyrie Irving,Dallas Mavericks,Dallas,Texas
Jayson Tatum,Boston Celtics,Boston,Massachusetts
Andrew Christian Wiggins,Golden State Warriors,San Francisco,California
Jaylen Marselles Brown,Boston Celtics,Boston,Massachusetts
Victor Wembanyama,San Antonio Spurs,San Antonio,Texas
Jrue Holiday,Boston Celtics,Boston,Massachusetts
Kevin Wesley Love,Miami Heat,Miami,Florida
Giannis Antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
Wardell Stephen Curry II,Golden State Warriors,San Francisco,California
Al Horford,Boston Celtics,Boston,Massachusetts
Tyler Herro,Miami Heat,Miami,Florida
Duncan McBryde Robinson,Miami Heat,Miami,Florida
Kyle Anderson,Golden State Warriors,San Francisco,California
Jimmy Butler III,Miami Heat,Miami,Florida
Kevon Looney,Golden State Warriors,San Francisco,California
Zach LaVine,Chicago Bulls,Chicago,Illinois
Devin Armani Booker,Phoenix Suns,Phoenix,Arizona
Brandan Keith Wright,Golden State Warriors,San Francisco,California
Draymond Jamal Green,Golden State Warriors,San Francisco,California
Zach Collins,San Antonio Spurs,San Antonio,Texas
Jonathan Malangu Kuminga,Golden State Warriors,San Francisco,California
Lonzo Anderson Ball,Chicago Bulls,Chicago,Illinois
Jaime Jaquez Jr.,Miami Heat,Miami,Florida
Shaquille Rashaun O'Neal,Sacramento Kings,Sacramento,California
Christopher Emmanuel Paul,San Antonio Spurs,San Antonio,Texas
Harrison Bryce Jordan Barnes,San Antonio Spurs,San Antonio,Texas
Bam Adebayo,Miami Heat,Miami,Florida
Jay Fletcher Vincent,Dallas Mavericks,Dallas,Texas
Anthony Avent,Milwaukee Bucks,Milwaukee,Wisconsin
Vernon Maxwell,Houston Rockets,Houston,Texas
Timothy Theodore Duncan,San Antonio Spurs,San Antonio,Texas
Derrick Joseph Chievous,Houston Rockets,Houston,Texas
Rik Smits,Indiana Pacers,Indianapolis,Indiana
Anthony Edwards,Minnesota Timberwolves,Minneapolis,Minnesota
Mark Price William Mark Price,Cleveland Cavaliers,Cleveland,Ohio
Kurt Vincent Thomas,Miami Heat,Miami,Florida
Aaron Williams,Utah Jazz,Salt Lake City,Utah
William Bedford,Phoenix Suns,Phoenix,Arizona
Lamar Brandon Stevens,Cleveland Cavaliers,Cleveland,Ohio
"Dewayne ""D. J."" White, Jr.",Cleveland Cavaliers,Cleveland,Ohio
,Phoenix Suns,Phoenix,Arizona
Erick Strickland,Dallas Mavericks,Dallas,Texas
Jordan Lee Crawford,Golden State Warriors,San Francisco,California
John Harding Lucas II,Houston Rockets,Houston,Texas
Garfield Smith,Boston Celtics,Boston,Massachusetts
Dennis Schröder,Toronto Raptors,Toronto,Ontario
Trayce Jackson-Davis,Golden State Warriors,San Francisco,California
