city_name,state_name,team_name,name,college
San Francisco,California,Golden State Warriors,Buddy Hield Chavano Rainer,Oklahoma Sooners
Dallas,Texas,Dallas Mavericks,Kyrie Irving,Duke Blue Devils
Boston,Massachusetts,Boston Celtics,Jayson Tatum,Duke Blue Devils
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins,University of Kansas
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,"University of California, Berkeley"
San Antonio,Texas,San Antonio Spurs,Victor Wembanyama,
Boston,Massachusetts,Boston Celtics,Jrue Holiday,UCLA
Miami,Florida,Miami Heat,Kevin Wesley Love,UCLA Bruins
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,Filathlitikos
San Francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson
Boston,Massachusetts,Boston Celtics,Al Horford,University of Florida
Miami,Florida,Miami Heat,Tyler Herro,University of Kentucky
Miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College Ephs, Michigan Wolverines"
San Francisco,California,Golden State Warriors,Kyle Anderson,UCLA Bruins
Miami,Florida,Miami Heat,Jimmy Butler III,Tyler Junior College
San Francisco,California,Golden State Warriors,Kevon Looney,UCLA Bruins
Chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA Bruins
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker,University of Kentucky
San Francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State University
San Francisco,California,Golden State Warriors,Jonathan Malangu Kuminga,
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA Bruins
Miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins
Sacramento,California,Sacramento Kings,Shaquille Rashaun O'Neal,LSU
San Antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,Wake Forest University
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,University of North Carolina at Chapel Hill
Miami,Florida,Miami Heat,Bam Adebayo,University of Kentucky
San Antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan,Wake Forest University
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia Bulldogs
Salt Lake City,Utah,Utah Jazz,Aaron Williams,Xavier University
Dallas,Texas,Dallas Mavericks,Erick Strickland,University of Nebraska
San Francisco,California,Golden State Warriors,Jordan Lee Crawford,Indiana University
Houston,Texas,Houston Rockets,John Harding Lucas II,University of Maryland
Toronto,Ontario,Toronto Raptors,Dennis Schröder,
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana
