team_name,location,city_name,state_name
Atlanta Hawks,Atlanta,Atlanta,Georgia
Golden State Warriors,San Francisco,San Francisco,California
Houston Rockets,Houston,Houston,Texas
Indiana Pacers,Indianapolis,Indianapolis,Indiana
Miami Heat,Miami,Miami,Florida
Milwaukee Bucks,Milwaukee,Milwaukee,Wisconsin
Minnesota Timberwolves,Minneapolis,Minneapolis,Minnesota
New Orleans Pelicans,New Orleans,New Orleans,Louisiana
Boston Celtics,Boston,Boston,Massachusetts
Oklahoma City Thunder,Oklahoma City,Oklahoma City,Oklahoma
Phoenix Suns,Phoenix,Phoenix,Arizona
Sacramento Kings,Sacramento,Sacramento,California
San Antonio Spurs,San Antonio,San Antonio,Texas
Toronto Raptors,Toronto,Toronto,Ontario
Utah Jazz,Salt Lake City,Salt Lake City,Utah
Chicago Bulls,Chicago,Chicago,Illinois
Cleveland Cavaliers,Cleveland,Cleveland,Ohio
Dallas Mavericks,Dallas,Dallas,Texas
Nuggets,Denver,Denver,Colorado
