id,description.disease_name,description.diagnosis_challenges,description.treatment_challenges,description.sequelae,description.complications,description.quality_of_life_impact
disease_0,Chlamydia,,,,cervicitis||pelvic inflammatory disease||ectopic pregnancy||pneumonia in babies||chlamydial conjunctivitis||infertility,
disease_1,Type 2 Diabetes Mellitus,,,,heart related complications||metabolic complications||inflammation,chronic_pain||fatigue||sleep_disorders||anxiety||depression||social_isolation||work_disability||cognitive_impairment||sexual_dysfunction||self_care_difficulty||dietary_restriction||dependence_on_others||body_image_issues||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_2,Pleural Effusion,,,,,
disease_3,Irritable Bowel Syndrome (IBS),,,,,chronic_pain||fatigue||mobility_impairment||social_isolation||work_disability
disease_4,Diabetes type 1,,,,blindness||cardiovascular_disorders||large_blood_vessel_damage||kidney_damage||eye_damage||nerve_damage||coma,quality_of_life_decline
disease_5,Vohwinkel syndrome,,oral_medication||surgery,quality_of_life_impairment||disability,anemia||thrombocytopenia,
disease_6,Gout,,drug_resistance||frequent_relapse||side_effects,,kidney_stone||joint_damage,chronic_pain||mobility_impairment
disease_7,Lung Cancer,,,,metastatic lung cancer||superior vena cava syndrome||paraneoplastic syndrome,chronic_pain||fatigue||sleep_disorders||anxiety||depression||social_isolation||work Disability||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_8,Multiple Myeloma,,None||sequelae,,blood clots,cancer_related_fatigue||cancer_related_pain||mobility_impairment||social_isolation||financial_burden||emotional_distress||stigma
disease_9,Phantom Limb Pain,,,,,chronic_pain||mobility_impairment
disease_10,Opioid-Induced Constipation,,,,abdominal pain||pain aggravation,chronic_pain||fatigue||mobility_impairment
disease_11,Rocky Mountain Spotted Fever,,,,encephalitis,
disease_12,Acute Graft-Versus-Host Disease,,,,,chronic_pain||fatigue||mobility_impairment||social_isolation||work_disability
disease_13,Pyoderma gangrenosum,,,,,chronic_pain||mobility_impairment
disease_14,Herpes Simplex Virus Infection,,,,dementia,chronic_pain||mobility_impairment||social_isolation||work_disability
disease_15,Asthma,,,,,chronic_pain||fatigue||anxiety||depression||social_isolation||work_disability||cognitive_impairment||sexual_dysfunction||self_care_difficulty||dietary_restriction||dependence_on_others||body_image_issues||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_16,Legionnaires' Disease,,,,pneumonia,
disease_17,Cystic Fibrosis,,,,Liver Disease||Pancreatic Insufficiency,chronic_pain||fatigue||mobility_impairment||cognitive_impairment||emotional_distress||stigma||financial_burden
disease_18,Antibiotic-associated diarrhea,,,,dehydration,chronic_pain||fatigue
disease_19,Hemophilia B,,,mobility problems||pain/discomfort,arthritis||anxiety||depression||high blood pressure||gingivitis,chronic_pain||fatigue||anxiety||depression||social_isolation||work_disability||cognitive_impairment||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_20,Attention-Deficit Hyperactivity Disorder,,,,adverse educational outcomes||repeating a grade||special education services||expulsion||suspension,quality_of_life_decline
disease_21,Microcytic Anemia,,,,organ damage||death,fatigue||anxiety||depression||social_isolation||work_disability||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_22,Birth Control Heart Attack,,,,stroke||life-threatening clots in legs||life-threatening clots in lungs||arrhythmia||loss of heart function||death,quality_of_life_impairment
disease_23,Urinary Tract Infection,,,,,chronic_pain||mobility_impairment||self_care_difficulty
disease_24,Prostate Cancer,,,,kidney_failure||acute_kidney_injury||urinary_obstruction||metastasis_to_liver||metastasis_to_bone||metastasis_to_lung||metastasis_to_lymph_nodes,quality_of_life_decline
disease_25,Gastroesophageal Reflux Disease,,,,erosive esophagitis||Barrett's esophagus||peptic esophageal strictures,quality_of_life_decline
disease_26,Thoracic Outlet Syndrome,,None||sequelae,,permanent nerve damage,chronic_pain||mobility_impairment||self_care_difficulty||work_disability
disease_27,Onchocerciasis,,,vision impairment,,chronic_pain||mobility_impairment
disease_28,Depression,,,,suicide,
disease_29,Opioid Addiction,,oral_medication,,,addiction||dependence_on_others
disease_30,Ear Infections,,high_recurrence_risk||full_recovery,,,chronic_pain||fatigue||sleep_disorders
disease_31,Lyme Disease,,,,,quality_of_life_decline
disease_32,Opiate Dependency,,,,lost productivity||family problems||crime,work_disability||anxiety||depression||social_isolation||financial_burden
disease_33,Duchenne muscular dystrophy,,,,heart damage||death in 20s or 30s,quality_of_life_decline
disease_34,Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),,,,stroke||cerebral blood clots||cerebral infarction,disability
disease_35,,,,,,chronic_pain||fatigue||mobility_impairment
disease_36,Poison Oak Rash,,,,,chronic_pain||mobility_impairment
disease_37,Postpartum Depression and Anxiety,,,,,anxiety||depression||fatigue||mobility_impairment||social_isolation||work_disability||cognitive_impairment||emotional_distress||stigma||quality_of_life_decline
disease_38,Acute Appendicitis,,,,,
disease_39,Influenza,,,,,fatigue||mobility_impairment||chronic_pain||sleep_disorders||anxiety||depression||social_isolation||work Disability||cognitive_impairment||sexual_dysfunction||self_care_difficulty||dietary_restriction||dependence_on_others||body_image_issues||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_40,Diabetes Mellitus,,injection||laboratory_test||dietary_intervention||lifestyle_modification,,metabolic starvation,quality_of_life_decline||mobility_impairment||chronic_pain||fatigue||sleep_disorders||anxiety||depression||social_isolation||work_disability||cognitive_impairment||sexual_dysfunction||self_care_difficulty||dietary_restriction||dependence_on_others||body_image_issues||financial_burden||emotional_distress||stigma||other
disease_41,Irritable Bowel Syndrome,,,,depression||anxiety||panic disorders||psychotic disorders,quality_of_life_decline
disease_42,Low Back Pain,,,disability,muscle_weakness||nerve_compression||disability,chronic_pain||fatigue||sleep_disorders||work Disability
disease_43,Acne,,,,,social_isolation||chronic_pain||self_care_difficulty
disease_44,Periodontal Disease,,,,periodontal pockets,chronic_pain||mobility_impairment
disease_45,Panic Disorder,,,,agoraphobia||irritable bowel syndrome||asthma||migraine||atypical chest pain,anxiety||depression||social_isolation||work_disability||cognitive_impairment
disease_46,Trigeminal Neuralgia,,surgery||physical_therapy||psychotherapy||others,,poor oral hygiene||weight loss||reluctance to socialise||depression||anxiety,quality_of_life_decline||mobility_impairment||chronic_pain||fatigue||social_isolation||work_disability||emotional_distress||stigma
disease_47,Irregular Heart Rhythm,,,,death,anxiety||mobility_impairment
disease_48,Chronic Fatigue Syndrome,,,,,quality_of_life_decline
disease_49,Anxiety Disorders,,,,,anxiety||depression||social_isolation||work_disability||cognitive_impairment||fatigue||chronic_pain
disease_50,Fibromyalgia,,,,,fatigue||chronic_pain||anxiety||cognitive_impairment||sleep_disorders||work Disability||mobility_impairment
disease_51,Idiopathic Intracranial Hypertension,,,permanent visual loss,visual field defects,visual_field_abnormality||mobility_impairment
disease_52,,,,,,mobility_impairment||chronic_pain
disease_53,,,,,,anxiety||fatigue
disease_54,Immune Reconstitution Syndrome (IRS),,,,significant morbidity||mortality,
disease_55,Heart Failure,,,,congestive heart failure,work Disability||fatigue||chronic_pain||mobility_impairment||anxiety||depression||social_isolation||cognitive_impairment||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_56,COVID-19,,oral_medication,,,
disease_57,Stomach Cancer,,,,,chronic_pain||fatigue||mobility_impairment||social_isolation||work_disability
disease_58,Plaque Psoriasis,,,,hyperuricemia||low folate levels,chronic_pain||mobility_impairment
disease_59,Tuberculosis,,,,,chronic_pain||fatigue
disease_60,Parasitic Infections (Tapeworm),,,,,chronic_pain||fatigue||mobility_impairment
disease_61,Systemic Lupus Erythematosus,,oral_medication||injection||surgery||lifestyle_modification||dietary_intervention||physical_therapy,,disability||nerve damage,quality_of_life_decline||mobility_impairment||chronic_pain||fatigue||cognitive_impairment||social_isolation||work_disability||emotional_distress||stigma||financial_burden
disease_62,Metastatic Colorectal Cancer,,,,,fatigue||mobility_impairment
disease_63,Acute Bacterial Prostatitis,,,,,chronic_pain||fatigue||mobility_impairment
disease_64,Secondary Peritonitis,,,,sepsis||multiple organ failure,
disease_65,Opioid Use Disorder,,oral_medication||injection,,,addiction||dependence_on_others
disease_66,Essential Hypertension,,dietary_intervention,,,
disease_67,Huntington's disease,,,,,fatigue||mobility_impairment||cognitive_impairment||depression||anxiety||social_isolation||work_disability||self_care_difficulty||sexual_dysfunction||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_68,Heart Murmur,,,,leg swelling,fatigue||shortness of breath during exertion
disease_69,Charcot Neuropathic Osteoarthropathy,,,,bone destruction||subluxation||dislocation||deformity||ulcer||superinfection||amputation||multiorgan dysfunction syndrome||death,quality_of_life_impairment||disability||progressive||high_mortality||variable
disease_70,HIV-1 Infection,,,,AIDS||opportunistic_infections,chronic_pain||fatigue||depression||social_isolation||work_disability||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_71,Celiac Disease,common_symptoms,,,,chronic_pain||fatigue||mobility_impairment
disease_72,Rabies,laboratory_test||clinical_evaluation,,,encephalitis||death||severe_neurological_complications,
disease_73,Human African Trypanosomiasis (Sleeping Sickness),,,,deterioration in neurological function||death,chronic_pain||fatigue||sleep_disorders||mobility_impairment
disease_74,Diabetic Peripheral Neuropathy,,,,,chronic_pain||fatigue||mobility_impairment
disease_75,Crohn's disease,,,,,chronic_pain||fatigue||mobility_impairment||self_care_difficulty||dietary_restriction||financial_burden||emotional_distress
disease_76,Osteoarthritis,,drug_resistance||side_effects,joint_deformity||chronic_pain,,mobility_impairment||chronic_pain||fatigue
disease_77,Advanced Breast Cancer,,,,,chronic_pain||fatigue||mobility_impairment||sleep_disorders||anxiety||depression
disease_78,Alzheimer's Disease,,,,,quality_of_life_decline
disease_79,Cancer,,,,bloodstream infections,quality_of_life_decline
disease_80,Sinus Migraine,,,,,chronic_pain||fatigue||mobility_impairment||self_care_difficulty||work_disability
disease_81,Major Depressive Disorder,,,,recurrence,depression||anxiety||social_isolation||work_disability||fatigue||chronic_pain||financial_burden
disease_82,Peripheral Arterial Disease,,,,heart attack||heart disease||stroke||kidney failure||gangrene||chronic limb ischemia||ulcers||tissue death,chronic_pain||fatigue||mobility_impairment||social_isolation||work_disability||cognitive_impairment||sexual_dysfunction||self_care_difficulty||dietary_restriction||dependence_on_others||body_image_issues||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_83,Cystoid Macular Edema,,oral_medication||injection||surgery,,glaucoma||optic nerve involvement||vitreous opacification||cataract formation,quality_of_life_decline
disease_84,Preeclampsia,,,,eclampsia||seizures||stroke||severe bleeding||HELLP syndrome||death,quality_of_life_decline
disease_85,Acute Intermittent Porphyria,laboratory_test||genetic_testing||clinical_evaluation,injection||oral_medication||dietary_intervention||lifestyle_modification||surgery,permanent_neurological_damage,depression||anxiety||hepatocellular_carcinoma||renal_dysfunction||recurrent_acute_attacks||permanent_neurological_damage||death,chronic_pain||fatigue||anxiety||depression||cognitive_impairment||social_isolation||work_disability||emotional_distress||stigma||quality_of_life_decline
disease_86,Psoriatic Arthritis,,,,cardiovascular disease||metabolic syndrome||atherosclerosis||hyperlipidemia||hypertension||type 2 diabetes||gout||hyperuricemia||endothelial dysfunction||heart failure||depression||anxiety,quality_of_life_decline
disease_87,Bell's palsy,,,permanent facial weakness||severe corneal damage,social isolation||psychological morbidity||debilitating,social_isolation||psychological_morbidity||depressing
disease_88,Sarcopenia,,,,bone fractures||diminished life span||other serious illnesses||premature death||mental health problems||anxiety||depression||isolation||avoidance,mobility_impairment||chronic_pain||fatigue||sleep_disorders||anxiety||depression||social_isolation||work_disability||cognitive_impairment||self_care_difficulty||dietary_restriction||dependence_on_others||body_image_issues||financial_burden||emotional_distress||stigma||quality_of_life_decline
disease_89,Advanced Non-Small Cell Lung Cancer,,,,,quality_of_life_decline
disease_90,Peritonitis,,,,,chronic_pain||fatigue
disease_91,Atrial Fibrillation,,,,stroke||death||serious disability,quality_of_life_decline
disease_92,Primary Biliary Cholangitis,,,,,chronic_pain||fatigue
disease_93,Drug Resistant Tuberculosis (DR TB),,,,,
disease_94,Sinus Infection,,,,,chronic_pain||fatigue
disease_95,Premenstrual Syndrome,,,,,chronic_pain||fatigue||anxiety||depression||social_isolation||work_disability
disease_96,Hypertension,,,,cardiovascular problems,hypertension-related quality_of_life_decline
disease_97,Gut Microbiome Imbalance,,,,,chronic_pain||fatigue||mobility_impairment||dietary_restriction||social_isolation||work_disability
disease_98,Benign Prostatic Hypertrophy (BPH),,,,,chronic_pain||mobility_impairment
disease_99,Leptospirosis,,,,kidney failure,
