university_name,academic_calendar,total_undergraduate_enrollment
Macalester College,semester,1996
Morningside College,semester,1239
Columbia College SC,semester,1189
Concordia University Chicago,semester,1270
Southeastern University,semester,1665
Santa Fe University of Art and Design,semester,195
Jamestown College,semester,1010
Freed-Hardeman University,semester,1496
New England College,semester,1014
Harvey Mudd College,semester,757
Woodbury University,semester,1301
North Carolina Wesleyan College,semester,1449
College of Mount St. Vincent,semester,1555
St. Joseph's College,semester,1010
