name,nationality,age,team
Antonius Cleveland,American,31,Lokomotiv Kuban
Jay Vincent Jay Fletcher Vincent,American,66,Los Angeles Lakers
Nikola Radi?evi?,Serbian,31,Cedevita Olimpija
Fran Curran Francis Hugh Curran Sr.,American,103,Rochester Royals
Mark Price,American,61,Orlando Magic
David Michineau,French,31,Bursaspor Basketbol
Donta Hall,American-born naturalized Azerbaijani,28,Saski Baskonia
Erick Strickland,American,51,Milwaukee Bucks
David Lattin,American,81,New Orleans Jazz
Toby Kimball,American,83,New Orleans Jazz
Derek Grimm,American,51,Sacramento Kings
Anthony Marshon Davis Jr.,American,32,Los Angeles Lakers
Brandan Keith Wright,American,37,Houston Rockets
Askia Rahman Jones,American-Venezuelan,53,Guaros de Lara
Carrick Felix,American,35,Melbourne United
Mychel Thompson,American,37,Santa Cruz Warriors
Marvin Roberts,American,75,
"Kenneth ""Apple"" Green",American,66,New York Knicks
Gerald Madkins Jr.,American,56,Grand Rapids Hoops
Don Anielak,American,95,New York Knicks
Philip Douglas Jackson,American,80,Los Angeles Lakers
Anthony Avent,American,56,PAOK Thessaloniki
Drew Edward Gordon,American,33,Philadelphia 76ers
Jarrett Jack,American,41,Detroit Pistons
Rick Hughes,American,52,HTV Basket
Lavoy Allen,American,36,Philadelphia 76ers
Ed Dahler Edward Dahler Jr.,American,99,Philadelphia Warriors
Magic Johnson,American,66,Los Angeles Lakers
Stanley M. Noszka,,105,Boston Celtics
Isiah Thomas,American,64,Detroit Pistons
Dan Anderson,American,74,Portland Trail Blazers
Jahlil Okafor,Nigerian-American,30,Capitanes de Arecibo
Trent Tucker,American,65,Chicago Bulls
Dwayne Kenneth Schintzius,American,57,Brevard Blue Ducks
Miles Julian Simon,American,49,Phoenix Suns
Guy William Rodgers,American,90,Milwaukee Bucks
Vernon Maxwell,American,60,Dallas Mavericks
Tim Duncan,American,50,San Antonio Spurs
Walter Berry,American,61,Panteras de Miranda
James Patrick Walsh,American,95,Philadelphia Warriors
Tony Lorenzo Delk,American,51,New Mexico State
Calvin Ramsey,American,88,New York Knicks
Gene Dyker Eugene Walter Dyker,American,95,Milwaukee Hawks
Derrick Chievous,American,58,Cleveland Cavaliers
Rik Smits,Dutch,59,Indiana Pacers
Anthony Edwards,American,24,Minnesota Timberwolves
"Harry Junior ""The Horse"" Gallatin",American,98,Detroit Pistons
Jim Brasco,American,94,Milwaukee Hawks
Darnell Hillman,American,76,Golden State Warriors
Larry Robinson,Canadian,74,Senior Consultant to Hockey Operations for the St. Louis Blues
Nicholas William Calathes,Greek-American,36,AS Monaco
Rod Derline,,73,Seattle SuperSonics
Kurt Thomas,American,53,New York Knicks
Kevin Wayne Durant,American,37,Phoenix Suns
Aaron Williams,American,54,Los Angeles Clippers
Nathaniel Thomas Huffman,American,50,Toronto Raptors
Fred Boyd,American,75,New Orleans Jazz
William Bedford,American,61,Grand Rapids Hoops
Steve Smith,American,56,Charlotte Bobcats
Shawn Christopher Respert,American,53,
Rodney Strickland,American,59,Houston Rockets
Elmer H. Behnke,American,96,Milwaukee Hawks
Lamar Brandon Stevens,American,28,Memphis Grizzlies
Ronald Moore,American,37,Debreceni EAC
Erazem Lorbek,Slovenian,41,Petrol Olimpija
"Marvin ""Mickey"" Rottner",American,106,Chicago Stags
Hamidou Diallo,American,27,Capital City Go-Go
"Dewayne ""D. J."" White, Jr.",American,39,Piratas de Quebradillas
Steve Kerr,American,60,Golden State Warriors
Gregory Clinton Foster,American,57,Indiana Pacers
Bill Hewitt,American,81,Los Angeles Lakers
Joseph Xavier Forte,American,44,Maccabi Tel Aviv
Dino_Ra?a,Croatian,58,Split
Mark Jeffrey Radford,American,66,Seattle SuperSonics
Kostas Papanikolaou,Greek,35,Olympiacos
Garry Witts Garrett David Witts,American,66,Washington Bullets
Jabari Dominic Walker,American,23,Portland Trail Blazers
Devontae Cacok,American,29,Virtus Bologna
Brandon Goodwin,American,30,Gigantes de Carolina
Dick Rosenthal,American,91,Fort Wayne Pistons
Jamal Crawford,American,45,Brooklyn Nets
Jordan Lee Crawford,American,37,Sichuan Blue Whales
Tom Copa,American,61,Libertas Livorno
Kermit Washington,American,74,Golden State Warriors
Donyell Marshall,American,52,Greensboro Swarm
Wayne Lavern Robinson,American,95,Philadelphia Eagles
Greg Fillmore Gregory Paul Fillmore,American,78,New York Knicks
John Harding Lucas II,American,72,Houston Rockets
Dick Surhoff,American,96,Milwaukee Hawks
Garfield Smith,American,80,Boston Celtics
Leroy Patrick Chollet,American,100,Syracuse Nationals
Michael Carter-Williams,American,34,Capitanes de Ciudad de M��xico
Dennis Schr?der,German,32,Brooklyn Nets
Jack Parr,American,89,Cincinnati Royals
"Monti Davis DaMon William ""Monti"" Davis",American,67,Dallas Mavericks
Eric Johnson Jones,American-Spanish,59,Utah Jazz
Sidney Harold Tanenbaum,American,100,Baltimore Bullets
Trayce Jackson-Davis,American,25,Golden State Warriors
Andre Jamal Drummond,American,32,Philadelphia 76ers
"Chavano Rainer ""Buddy"" Hield",Bahamian,33,Golden State Warriors
D'Angelo Russell,American,29,Los Angeles Lakers
Joel Hans Embiid,Cameroonian-American,31,Philadelphia 76ers
