name,draft_pick,draft_year,file
Antonius Cleveland  ,10000,0,Antonius_Cleveland.txt
Donta Hall  ,10000,0,Donta_Hall.txt
Anthony Marshon Davis Jr.,1,2012,Anthony_Davis.txt
Brandan Keith Wright  ,8,2007,Brandan_Wright.txt
Carrick Felix  ,33,2013,Carrick_Felix.txt
Mychel Thompson  ,10000,0,Mychel_Thompson .txt
Drew Edward Gordon  ,10000,0,Drew_Gordon.txt
Jarrett Jack  ,22,2005,Jarrett_Jack.txt
Lavoy Allen  ,50,2011,Lavoy_Allen.txt
Jahlil Okafor,3,2015,Jahlil_Okafor.txt
Anthony Edwards,1,2020,Anthony_Edwards.txt
Nicholas William Calathes  ,35,2009,Nick_Calathes.txt
Kevin Wayne Durant,2,2007,Kevin_Durant.txt
Lamar Brandon Stevens  ,10000,0,Lamar_Stevens.txt
Ronald Moore  ,10000,0,Ronald_Moore.txt
Hamidou Diallo  ,45,2017,Hamidou_Diallo.txt
Jabari Dominic Walker  ,57,2022,Jabari_Walker.txt
Devontae Cacok  ,10000,0,Devontae_Cacok.txt
Brandon Goodwin  ,10000,0,Brandon_Goodwin.txt
Jordan Lee Crawford  ,27,2010,Jordan_Crawford.txt
Michael Carter-Williams  ,11,2013,Michael_Carter-Williams.txt
