name,birth_date,team,position
Antonius Cleveland,1994/2/2,Lokomotiv Kuban,
Nikola Radi?evi?,1994/4/25,Cedevita Olimpija,Backcourt
David Michineau,1994/6/6,Bursaspor Basketbol,Backcourt
Donta Hall,1997/8/7,Saski Baskonia,
Anthony Marshon Davis Jr.,1993/3/11,Los Angeles Lakers,Frontcourt
Drew Edward Gordon,1990/7/12,Philadelphia 76ers,Frontcourt
Jahlil Okafor,1995/12/15,Capitanes de Arecibo,
Anthony Edwards,2001/8/5,Minnesota Timberwolves,Backcourt
Lamar Brandon Stevens,1997/7/9,Memphis Grizzlies,
Hamidou Diallo,1998/7/31,Capital City Go-Go,
Jabari Dominic Walker,2002/7/30,Portland Trail Blazers,
Devontae Cacok,1996/10/8,Virtus Bologna,
Brandon Goodwin,1995/10/2,Gigantes de Carolina,Backcourt
Michael Carter-Williams,1991/10/10,Capitanes de Ciudad de M��xico,
Dennis Schr?der,1993/9/15,Brooklyn Nets,
Trayce Jackson-Davis,2000/2/22,Golden State Warriors,
Andre Jamal Drummond,1993/8/10,Philadelphia 76ers,Frontcourt
"Chavano Rainer ""Buddy"" Hield",1992/12/17,Golden State Warriors,
D'Angelo Russell,1996/2/23,Los Angeles Lakers,Backcourt
Joel Hans Embiid,1994/3/16,Philadelphia 76ers,
Kyrie Andrew Irving,1992/3/23,Dallas Mavericks,
Jayson Christopher Tatum,1998/3/3,Boston Celtics,
Caleb Martin,1995/9/28,Philadelphia 76ers,Frontcourt
Andrew Christian Wiggins,1995/2/23,Golden State Warriors,
Max Berning Fiedler,2001/2/26,Philadelphia 76ers,
"Ogugua ""OG"" Anunoby Jr.",1997/7/17,New York Knicks,
Jaylen Marselles Brown,1996/10/24,Boston Celtics,Backcourt
Victor Wembanyama,2004/1/4,San Antonio Spurs,Frontcourt
Austin Tyler Reaves,1998/5/29,Los Angeles Lakers,
Giannis Sina Ugo Antetokounmpo,1994/12/6,Milwaukee Bucks,Frontcourt
Tyler Christopher Herro,2000/1/20,Miami Heat,Backcourt
Duncan McBryde Robinson,1994/4/22,Miami Heat,
Kyle Forman Anderson,1993/9/20,Golden State Warriors,
Cade Parker Cunningham,2001/9/25,Detroit Pistons,
Kevon Grant Looney,1996/2/6,Golden State Warriors,Frontcourt
Zachary Thomas LaVine,1995/3/10,Chicago Bulls,
Jaden Edward Dhananjay Ivey,2002/2/13,Detroit Pistons,
Devin Armani Booker,1996/10/30,Phoenix Suns,Backcourt
Zach Collins,1997/11/19,San Antonio Spurs,
Jonathan Malangu Kuminga,2002/10/6,Golden State Warriors,Frontcourt
Lonzo Anderson Ball,1997/10/27,Chicago Bulls,Backcourt
Jaime Jaquez Jr.,2001/2/18,Miami Heat,
Ausar XLNC Thompson,2003/1/30,Detroit Pistons,
Jalen Marquis Brunson,1996/8/31,New York Knicks,
Harrison Bryce Jordan Barnes,1992/5/30,San Antonio Spurs,
"Edrice Femi ""Bam"" Adebayo",1997/7/18,Miami Heat,
