founded_year,team_name,name,team
1946,Golden State Warriors,andrew christian wiggins,Golden State Warriors
1989,Minnesota Timberwolves,anthony edwards,Minnesota Timberwolves
1946,Los Angeles Lakers,anthony marshon davis,Los Angeles Lakers
1937,Detroit Pistons,ausar xlnc thompson,Detroit Pistons
1946,Los Angeles Lakers,austin tyler reaves,Los Angeles Lakers
1967,Houston Rockets,brandan keith wright,Houston Rockets
1937,Detroit Pistons,cade parker cunningham,Detroit Pistons
1946,Golden State Warriors,"chavano rainer ""buddy"" hield",Golden State Warriors
1967,San Antonio Spurs,christopher emmanuel paul,San Antonio Spurs
1946,Los Angeles Lakers,d'angelo russell,Los Angeles Lakers
1923,Sacramento Kings,derek grimm,Sacramento Kings
1970,Cleveland Cavaliers,derrick chievous,Cleveland Cavaliers
1968,Phoenix Suns,devin armani booker,Phoenix Suns
1946,Golden State Warriors,draymond jamal green,Golden State Warriors
1988,Miami Heat,duncan mcbryde robinson,Miami Heat
1988,Miami Heat,"edrice femi ""bam"" adebayo",Miami Heat
1974,Utah Jazz,eric johnson jones,Utah Jazz
1968,Milwaukee Bucks,erick strickland,Milwaukee Bucks
1968,Milwaukee Bucks,giannis sina ugo antetokounmpo,Milwaukee Bucks
1967,Indiana Pacers,gregory clinton foster,Indiana Pacers
1967,San Antonio Spurs,harrison bryce jordan barnes,San Antonio Spurs
1937,Detroit Pistons,isiah thomas,Detroit Pistons
1970,Portland Trail Blazers,jabari dominic walker,Portland Trail Blazers
1937,Detroit Pistons,jaden edward dhananjay ivey,Detroit Pistons
1988,Miami Heat,jaime jaquez,Miami Heat
1937,Detroit Pistons,jarrett jack,Detroit Pistons
1946,Los Angeles Lakers,jay vincent jay fletcher vincent,Los Angeles Lakers
1946,Boston Celtics,jaylen marselles brown,Boston Celtics
1946,Boston Celtics,jayson christopher tatum,Boston Celtics
1988,Miami Heat,jimmy butler,Miami Heat
1946,Golden State Warriors,jonathan malangu kuminga,Golden State Warriors
1946,Boston Celtics,jrue randall holiday,Boston Celtics
1946,Golden State Warriors,kermit washington,Golden State Warriors
1968,Phoenix Suns,kevin wayne durant,Phoenix Suns
1988,Miami Heat,kevin wesley love,Miami Heat
1946,Golden State Warriors,kevon grant looney,Golden State Warriors
1946,Los Angeles Lakers,kobe bean bryant,Los Angeles Lakers
1946,New York Knicks,kurt thomas,New York Knicks
1946,Golden State Warriors,kyle forman anderson,Golden State Warriors
1980,Dallas Mavericks,kyrie andrew irving,Dallas Mavericks
1995,Memphis Grizzlies,lamar brandon stevens,Memphis Grizzlies
1946,Los Angeles Lakers,lebron raymone james,Los Angeles Lakers
1966,Chicago Bulls,lonzo anderson ball,Chicago Bulls
1946,Los Angeles Lakers,magic johnson,Los Angeles Lakers
1968,Phoenix Suns,miles julian simon,Phoenix Suns
1946,Boston Celtics,shaquille rashaun o'neal,Boston Celtics
1967,San Antonio Spurs,tim duncan,San Antonio Spurs
1946,Golden State Warriors,trayce jackson-davis,Golden State Warriors
1966,Chicago Bulls,trent tucker,Chicago Bulls
1988,Miami Heat,tyler christopher herro,Miami Heat
1980,Dallas Mavericks,vernon maxwell,Dallas Mavericks
1967,San Antonio Spurs,victor wembanyama,San Antonio Spurs
1946,Golden State Warriors,wardell stephen curry,Golden State Warriors
1967,San Antonio Spurs,zach collins,San Antonio Spurs
1966,Chicago Bulls,zachary thomas lavine,Chicago Bulls
