query_id,query_text,success,delta_type,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,error
S1,"SELECT area, city_name, gdp FROM city",True,OFFLINE,0.006154060363769531,0,0,0,0,0.0,0.0,0.0,0,0,False,
S2,"SELECT nba_team, name, own_year FROM owner",True,OFFLINE,0.004979610443115234,0,0,0,0,0.0,0.0,0.0,0,0,False,
F1,"SELECT state_name, area, city_name FROM city WHERE area = 375.78",True,OFFLINE,0.003973245620727539,0,0,0,0,0.0,0.0,0.0,0,0,False,
F2,"SELECT state_name, area, city_name FROM city WHERE area != 1314.80 AND population = 887642",True,OFFLINE,0.002343893051147461,0,0,0,0,0.0,0.0,0.0,0,0,False,
F7,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Cleveland Cavaliers'",True,OFFLINE,0.003251791000366211,0,0,0,0,0.0,0.0,0.0,0,0,False,
F8,"SELECT age, nba_team, name FROM owner WHERE nba_team != 'Golden State Warriors' AND age >= 66",True,OFFLINE,0.002995014190673828,0,0,0,0,0.0,0.0,0.0,0,0,False,
F13,"SELECT mvp_awards, draft_pick, fiba_world_cup FROM player WHERE fiba_world_cup <= 0",True,OFFLINE,0.008533954620361328,1251,0,0,0,0.0,0.0,0.0,121,0,False,
F14,"SELECT position, nationality, age FROM player WHERE age < 91",True,OFFLINE,0.004287004470825195,1315,0,0,0,0.0,0.0,0.0,126,0,False,
F49,"SELECT founded_year, ownership, team_name FROM team WHERE ownership != '  '",True,OFFLINE,0.002776622772216797,30,0,0,0,0.0,0.0,0.0,24,0,False,
F50,"SELECT ownership, championship, founded_year FROM team WHERE founded_year < 1989",True,OFFLINE,0.003755331039428711,46,0,0,0,0.0,0.0,0.0,25,0,False,
A1,"SELECT position, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player GROUP BY position",True,OFFLINE,0.004029989242553711,4,0,0,0,0.8571428571428571,0.75,1.0,3,3,True,
A3,"SELECT position, AVG(age) AS avg_age FROM player GROUP BY position",True,OFFLINE,0.005058765411376953,4,0,0,0,0.8272344753566352,0.7238301659370558,0.9651068879160745,3,3,True,
J1,"SELECT team.championship, team.location, player.age, player.olympic_gold_medals FROM player JOIN team ON player.team = team.team_name",True,OFFLINE,0.004406452178955078,864,0,0,0,0.0,0.0,0.0,88,0,False,
J2,"SELECT team.founded_year, team.team_name, player.name, player.team FROM player JOIN team ON player.team = team.team_name",True,OFFLINE,0.004651069641113281,864,0,0,0,0.0,0.0,0.0,88,0,False,
M1,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name GROUP BY player.position",True,OFFLINE,0.004496574401855469,4,0,0,0,0.8571428571428571,0.75,1.0,3,3,True,
M2,"SELECT player.position, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name GROUP BY player.position",True,OFFLINE,0.00639033317565918,4,0,0,0,0.6666666666666666,0.5,1.0,2,2,True,
M4,"SELECT nationality, SUM(age) AS sum_age FROM owner WHERE age != 76 AND nba_team != 'Houston Rockets' GROUP BY nationality",True,OFFLINE,0.003230571746826172,0,0,0,0,0.0,0.0,0.0,0,0,False,
M5,"SELECT nationality, COUNT(*) AS count_all FROM player WHERE name = 'Antonius Cleveland' OR nba_championships >= 0 GROUP BY nationality",True,OFFLINE,0.0047740936279296875,21,0,0,0,0.5554139475781267,0.5818622307961328,0.5312655150747299,23,21,True,
M9,"SELECT player.nationality, MIN(player.olympic_gold_medals) AS min_player_olympic_gold_medals FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0 GROUP BY player.nationality",True,OFFLINE,0.00479888916015625,3,0,0,0,1.0,1.0,1.0,3,3,True,
M10,"SELECT owner.nationality, MAX(player.mvp_awards) AS max_player_mvp_awards FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE city.population < 1603797 OR team.location != 'Minneapolis' GROUP BY owner.nationality",True,OFFLINE,0.00590205192565918,1,0,0,0,0.0,0.0,0.0,1,0,True,
M21,"SELECT nationality, MIN(age) AS min_age FROM owner WHERE nba_team != 'Cleveland Cavaliers' GROUP BY nationality",True,OFFLINE,0.0029354095458984375,0,0,0,0,0.0,0.0,0.0,0,0,False,
M27,"SELECT team, MIN(olympic_gold_medals) AS min_olympic_gold_medals FROM player WHERE draft_pick < 1 GROUP BY team",True,OFFLINE,0.005081892013549805,28,0,0,0,0.0,0.0,0.0,29,0,True,
M28,"SELECT nationality, SUM(olympic_gold_medals) AS sum_olympic_gold_medals FROM player WHERE nationality = 'German' AND olympic_gold_medals <= 0 GROUP BY nationality",True,OFFLINE,0.004206180572509766,1,0,0,0,1.0,1.0,1.0,1,1,True,
M33,"SELECT player.draft_pick, team.team_name, player.fiba_world_cup, team.location FROM player JOIN team ON player.team = team.team_name WHERE player.fiba_world_cup > 0",True,OFFLINE,0.004156589508056641,168,0,0,0,0.0,0.0,0.0,16,0,False,
M34,"SELECT owner.age, team.founded_year, player.name, city.city_name FROM player JOIN team ON player.team = team.team_name JOIN owner ON team.ownership = owner.name JOIN city ON team.location = city.city_name WHERE player.birth_date > '1994/2/2' AND city.population > 715522",True,OFFLINE,0.00434112548828125,182,0,0,0,0.0,0.0,0.0,0,0,False,
