name,nationality,age,team_name,location,id,player.id,team.id
andrew christian wiggins,Canadian,29.0,Golden State Warriors,San Francisco,,,
anthony edwards,American,23.0,Minnesota Timberwolves,Minneapolis,,,
anthony marshon davis,American,32.0,Los Angeles Lakers,Los Angeles,,,
austin tyler reaves,American,,Los Angeles Lakers,Los Angeles,,,
"chavano rainer ""buddy"" hield",Bahamian,32.0,Golden State Warriors,San Francisco,,,
christopher emmanuel paul,American,38.0,San Antonio Spurs,San Antonio,,,
d'angelo russell,American,,Los Angeles Lakers,Los Angeles,,,
darnell hillman,American,,Indiana Pacers,Indianapolis,,,
derrick chievous,American,,Houston Rockets,Houston,,,
devin armani booker,American,28.0,Phoenix Suns,Phoenix,,,
draymond jamal green,American,,Golden State Warriors,San Francisco,,,
duncan mcbryde robinson,American,31.0,Miami Heat,Miami,,,
"edrice femi ""bam"" adebayo",American-born naturalized Nigerian,28.0,Miami Heat,Miami,,,
erick strickland,American,,Dallas Mavericks,Dallas,,,
garfield smith,American,,Boston Celtics,Boston,,,
giannis sina ugo antetokounmpo,Greek and Nigerian,30.0,Milwaukee Bucks,Milwaukee,,,
greg fillmore gregory paul fillmore,American,,New York Knicks,New York City,,,
harrison bryce jordan barnes,American,,San Antonio Spurs,San Antonio,,,
jabari dominic walker,American,,Portland Trail Blazers,"Tualatin, Oregon",,,
jaime jaquez,Mexican-American,22.0,Miami Heat,Miami,,,
jalen marquis brunson,American,28.0,Dallas Mavericks,Dallas,,,
jay vincent jay fletcher vincent,American,,Dallas Mavericks,Dallas,,,
jaylen marselles brown,American,28.0,Boston Celtics,Boston,,,
jayson christopher tatum,American,27.0,Boston Celtics,Boston,,,
jimmy butler,American,35.0,Miami Heat,Miami,,,
john harding lucas,American,,Houston Rockets,Houston,,,
jonathan malangu kuminga,Congolese,22.0,Golden State Warriors,San Francisco,,,
jrue randall holiday,American,35.0,Boston Celtics,Boston,,,
"kenneth ""apple"" green",American,,New York Knicks,New York City,,,
kermit washington,American,21.0,Los Angeles Lakers,Los Angeles,,,
kevin wayne durant,American,36.0,Phoenix Suns,Phoenix,,,
kevin wesley love,American,36.0,Miami Heat,Miami,,,
kevon grant looney,American,,Golden State Warriors,San Francisco,,,
kobe bean bryant,American,17.0,Los Angeles Lakers,Los Angeles,,,
kurt thomas,American,,Miami Heat,Miami,,,
kyle forman anderson,American-Chinese,,Golden State Warriors,San Francisco,,,
kyrie andrew irving,American,33.0,Cleveland Cavaliers,Independence,,,
lamar brandon stevens,American,28.0,Cleveland Cavaliers,Independence,,,
lebron raymone james,American,40.0,Los Angeles Lakers,Los Angeles,,,
lonzo anderson ball,American,27.0,Chicago Bulls,Chicago,,,
mark price,American,,Cleveland Cavaliers,Independence,,,
"ogugua ""og"" anunoby",British,26.0,New York Knicks,New York City,,,
rik smits,Dutch,,Indiana Pacers,Indianapolis,,,
shaquille rashaun o'neal,American,,Orlando Magic,Orlando,,,
trayce jackson-davis,American,23.0,Golden State Warriors,San Francisco,,,
trent tucker,American,,New York Knicks,New York City,,,
tyler christopher herro,American,24.0,Miami Heat,Miami,,,
vernon maxwell,American,,Houston Rockets,Houston,,,
victor wembanyama,French,21.0,San Antonio Spurs,San Antonio,,,
wardell stephen curry,American,37.0,Golden State Warriors,San Francisco,,,
zach collins,American,,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,28.0,Chicago Bulls,Chicago,,,
