team_name,founded_year,location,ownership,championship,ID
Atlanta Hawks,1946,Atlanta,Atlanta Spirit LLC,1,1
Boston Celtics,1946,Boston,  ,18,2
Brooklyn Nets,1967,Brooklyn,Joseph Chung-Hsin Tsai,0,3
Charlotte Hornets,1988,Charlotte,Gabe Plotkin and Rick Schnall,0,4
Chicago Bulls,1966,Chicago,Jerry Michael Reinsdorf,6,5
Cleveland Cavaliers,1970,Cleveland,Daniel Gilbert,1,6
Dallas Mavericks,1980,Dallas,Mark Cuban,1,7
Denver Nuggets,1967,Denver,Enos Stanley Kroenke,1,8
Detroit Pistons,1937,Detroit,Tom Gores  ,3,9
Golden State Warriors,1946,San Francisco,Joseph Steven Lacob,7,10
Houston Rockets,1967,Houston,Tilman Joseph Fertitta,2,11
Indiana Pacers,1967,Indianapolis,Herbert Simon,3,12
Los Angeles Clippers,1970,Los Angeles,Steven Anthony Ballmer,0,13
Los Angeles Lakers,1946,Los Angeles,Jerry Buss (from 1979),17,14
Memphis Grizzlies,1995,Memphis,Robert J. Pera,0,15
Miami Heat,1988,Miami,Micky Arison,3,16
Milwaukee Bucks,1968,Milwaukee,Wes Edens and Marc Lasry  ,2,17
Minnesota Timberwolves,1989,Minneapolis,Glen Taylor,0,18
New Orleans Pelicans,2002,New Orleans,Gayle Marie LaJaunie Bird Benson,0,19
New York Knicks,1946,New York City,James Lawrence Dolan,2,20
Oklahoma City Thunder,1967,Oklahoma City,Clay Bennett,0,21
Orlando Magic,1989,Orlando,Daniel G. DeVos,0,22
Philadelphia 76ers,1946,Philadelphia,Joshua Jordan Harris,3,23
Phoenix Suns,1968,Phoenix, ,0,24
Portland Trail Blazers,1970,Portland,Paul Allen,1,25
Sacramento Kings,1923,Sacramento,  ,1,26
San Antonio Spurs,1967,San Antonio, ,5,27
Toronto Raptors,1995,Toronto, ,1,28
Utah Jazz,1974,Salt Lake City,,0,29
Washington Wizards,1961,"Washington, D.C.",Ted Leonsis,1,30
