name,college,team_name,gdp,city.id,id,player.id,team.id
andrew christian wiggins,Kansas,Golden State Warriors,,,,,
brandan keith wright,University of North Carolina at Chapel Hill,Golden State Warriors,0.0,,,,
"chavano rainer ""buddy"" hield",Oklahoma,Golden State Warriors,0.0,,,,
draymond jamal green,Michigan State Spartans,Golden State Warriors,,,,,
giannis sina ugo antetokounmpo,,Milwaukee Bucks,102000000000.0,,,,
jaylen marselles brown,California,Boston Celtics,84500.0,,,,
jonathan malangu kuminga,,Golden State Warriors,,,,,
jrue randall holiday,UCLA,Boston Celtics,84500.0,,,,
kevon grant looney,UCLA,Golden State Warriors,,,,,
shaquille rashaun o'neal,LSU,Orlando Magic,0.0,,,,
steve kerr,Arizona Wildcats,Golden State Warriors,,,,,
trayce jackson-davis,Indiana,Golden State Warriors,0.0,,,,
wardell stephen curry,Davidson,Golden State Warriors,0.0,,,,
zachary thomas lavine,UCLA,Chicago Bulls,,,,,
