query_id,query_text,success,latency_s,result_rows,prompt_tokens,completion_tokens,total_tokens,macro_f1,macro_precision,macro_recall,gt_result_count,matched_rows,is_agg,error
Q1,"SELECT player.name, player.nationality, player.age
FROM player;",True,0.18647074699401855,141,0,0,0,0.5153664302600472,0.5153664302600472,0.5153664302600472,141,124,False,
Q2,"SELECT player.name, player.position, player.team
FROM player
WHERE player.age > 25;",True,0.046956777572631836,0,0,0,0,0.0,0.0,0.0,130,0,False,
Q3,"SELECT player.name, player.draft_pick, player.college
FROM player
WHERE player.draft_pick >= 0;",True,0.06130099296569824,10,0,0,0,0.09843400447427293,0.7333333333333334,0.052757793764988015,139,9,False,
Q4,"SELECT team.team_name, team.location, team.founded_year
FROM team;",True,0.05696415901184082,30,0,0,0,0.4444444444444444,0.4444444444444444,0.4444444444444444,30,16,False,
Q5,"SELECT team.team_name, team.ownership, team.championship
FROM team
WHERE team.championship > 0;",True,0.046477317810058594,17,0,0,0,0.18018018018018014,0.19607843137254902,0.16666666666666666,20,8,False,
Q6,"SELECT city.city_name, city.state_name, city.population
FROM city;",True,0.06716752052307129,29,0,0,0,0.7701149425287358,0.7701149425287358,0.7701149425287358,29,28,False,
Q7,"SELECT city.city_name, city.area, city.gdp
FROM city
WHERE city.area > 100;",True,0.045203208923339844,4,0,0,0,0.10256410256410257,0.3333333333333333,0.06060606060606061,22,4,False,
Q8,"SELECT owner.name, owner.nba_team, owner.own_year
FROM owner;",True,0.05126166343688965,16,0,0,0,0.7083333333333334,0.7083333333333334,0.7083333333333334,16,16,False,
Q9,"SELECT owner.name, owner.age, owner.nationality
FROM owner
WHERE owner.age > 50;",True,0.036080121994018555,0,0,0,0,0.0,0.0,0.0,16,0,False,
Q10,"SELECT player.name, player.birth_date, player.team, player.position
FROM player
WHERE player.age < 35;",True,0.04271197319030762,0,0,0,0,0.0,0.0,0.0,46,0,False,
