area,city_name,gdp,city.id,id
134.0,atlanta,47300000000.0,,
125.4,boston,,,
312.0,charlotte,,,
,chicago,689000000000.0,,
82.47,cleveland,17600000000.0,,
385.8,dallas,,,
99025.0,denver,,,
142.87,detroit,43000000000.0,,
640.4,houston,,,
368.0,indianapolis,,,
24.0,inglewood,,,
502.7,los angeles,1000000.0,,
324.0,memphis,,,
"The area averages at around 6 ft (1.8 m) above sea level in most neighborhoods, especially near the coast. The highest points are found along the Miami Rock Ridge, which lies under most of the eastern Miami metro.",miami,344900000000.0,,
96.8,milwaukee,10200000000.0,,
59.0,minneapolis,69397.0,,
350.0,new orleans,,,
468.484,new york city,2160000000000.0,,
620.34,oklahoma city,,,
,orlando,,,
369.62,philadelphia,51850000000.0,,
517.9,phoenix,36200000000.0,,
145.09,portland,,,
100.1,sacramento,,,
286.0,salt lake city,,,
465.4,san antonio,,,
232.0,san francisco,87400000000.0,,
630.2,toronto,,,
