name,college,team_name,gdp
Kyrie Irving,Duke Blue Devils,Dallas Mavericks,
Jayson Tatum,Duke Blue Devils,Boston Celtics,
Andrew Christian Wiggins,Kansas Jayhawks,Golden State Warriors,
"OG Anunoby Ogugua ""OG"" Anunoby Jr.",Indiana University,New York Knicks,
Jaylen Marselles Brown,"University of California, Berkeley",Boston Celtics,
Victor Wembanyama,Metropolitans 92,San Antonio Spurs,
Jrue Holiday,UCLA Bruins,Boston Celtics,
Kevin Wesley Love,UCLA Bruins,Miami Heat,344900000000.0
Giannis Antetokounmpo,Filathlitikos,Milwaukee Bucks,102000000000.0
Stephen Curry,Davidson Wildcats,Golden State Warriors,
Al Horford,University of Florida,Boston Celtics,
Tyler Herro,University of Kentucky,Miami Heat,344900000000.0
Duncan McBryde Robinson,Williams College,Miami Heat,344900000000.0
Kyle Anderson (basketball),UCLA Bruins,Golden State Warriors,
Jimmy Butler III,Tyler Junior College,Miami Heat,344900000000.0
Kevon Looney Kevon Grant Looney,UCLA Bruins,Golden State Warriors,
Zach LaVine,UCLA Bruins,Chicago Bulls,689000000000.0
Michael Jeffrey Jordan,University of North Carolina,Chicago Bulls,689000000000.0
Devin Armani Booker,Kentucky Wildcats,Phoenix Suns,362000000000.0
Draymond Jamal Green,Michigan State Spartans,Golden State Warriors,
Zach Collins,Gonzaga Bulldogs,San Antonio Spurs,
Jonathan Kuminga,,Golden State Warriors,
Lonzo Anderson Ball,UCLA Bruins,Chicago Bulls,689000000000.0
Jaime Jaquez Jr.,UCLA Bruins,Miami Heat,344900000000.0
Jalen Marquis Brunson,Villanova University,New York Knicks,
Shaquille Rashaun O'Neal,LSU,Orlando Magic,
Christopher Emmanuel Paul,Wake Forest University,San Antonio Spurs,
Harrison Bryce Jordan Barnes,North Carolina Tar Heels,San Antonio Spurs,
"Bam Adebayo Edrice Femi ""Bam"" Adebayo",University of Kentucky,Miami Heat,344900000000.0
Carrick Felix,Arizona State Sun Devils,Cleveland Cavaliers,176000000000.0
"Kenneth ""Apple"" Green",Pan American University,New York Knicks,
Donald Robert Anielak,Moberly Junior College,New York Knicks,
Anthony Avent,Seton Hall University,Milwaukee Bucks,102000000000.0
Jarrett Matthew Jack,Georgia Tech,New York Knicks,
Daniel Edward Anderson,,Portland Trail Blazers,
Kelvin Trent Tucker,University of Minnesota,New York Knicks,
Timothy Theodore Duncan,Wake Forest Demon Deacons,San Antonio Spurs,
Rik Smits,Marist College,Indiana Pacers,
Anthony Edwards,Georgia Bulldogs,Minnesota Timberwolves,
Harry Gallatin Harry Junior,Northeast Missouri State Teachers' College,New York Knicks,
Darnell Hillman,San Jose State University,Indiana Pacers,
Mark Price William Mark Price,Georgia Tech,Cleveland Cavaliers,176000000000.0
Kevin Durant Kevin Wayne Durant,University of Texas at Austin,Phoenix Suns,362000000000.0
William Bedford,Memphis State University,Phoenix Suns,362000000000.0
Steven Delano Smith,Michigan State,Miami Heat,344900000000.0
Rod Strickland,DePaul University,New York Knicks,
"Dewayne ""D. J."" White, Jr.",Indiana Hoosiers,Cleveland Cavaliers,176000000000.0
Jabari Dominic Walker,Colorado Buffaloes,Portland Trail Blazers,
Jamal Crawford Aaron Jamal Crawford,University of Michigan,New York Knicks,
Greg Fillmore,Cheyney University of Pennsylvania,New York Knicks,
Dennis Schröder,,Toronto Raptors,
Trayce Jackson-Davis,Indiana Hoosiers,Golden State Warriors,
