city_name,state_name,team_name,name,college
Dallas,Texas,Dallas Mavericks,Kyrie Irving,Duke Blue Devils
Boston,Massachusetts,Boston Celtics,Jayson Tatum,Duke Blue Devils
San Francisco,California,Golden State Warriors,Andrew Christian Wiggins,Kansas Jayhawks
New York City,New York,New York Knicks,"OG Anunoby Ogugua ""OG"" Anunoby Jr.",Indiana University
Boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,"University of California, Berkeley"
Boston,Massachusetts,Boston Celtics,Jrue Holiday,UCLA Bruins
Milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,Filathlitikos
San Francisco,California,Golden State Warriors,Stephen Curry,Davidson Wildcats
Boston,Massachusetts,Boston Celtics,Al Horford,University of Florida
Miami,Florida,Miami Heat,Tyler Herro,University of Kentucky
Miami,Florida,Miami Heat,Duncan McBryde Robinson,Williams College
Miami,Florida,Miami Heat,Jimmy Butler III,Tyler Junior College
Chicago,Illinois,Chicago Bulls,Zach LaVine,UCLA Bruins
Phoenix,Arizona,Phoenix Suns,Devin Armani Booker,Kentucky Wildcats
San Francisco,California,Golden State Warriors,Draymond Jamal Green,Michigan State Spartans
San Francisco,California,Golden State Warriors,Jonathan Kuminga,
Chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA Bruins
Miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA Bruins
New York City,New York,New York Knicks,Jalen Marquis Brunson,Villanova University
Orlando,Florida,Orlando Magic,Shaquille Rashaun O'Neal,LSU
San Antonio,Texas,San Antonio Spurs,Christopher Emmanuel Paul,Wake Forest University
San Antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes,North Carolina Tar Heels
Miami,Florida,Miami Heat,"Bam Adebayo Edrice Femi ""Bam"" Adebayo",University of Kentucky
Milwaukee,Wisconsin,Milwaukee Bucks,Anthony Avent,Seton Hall University
New York City,New York,New York Knicks,Jarrett Matthew Jack,Georgia Tech
San Antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan,Wake Forest Demon Deacons
Minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia Bulldogs
Indianapolis,Indiana,Indiana Pacers,Darnell Hillman,San Jose State University
Phoenix,Arizona,Phoenix Suns,Kevin Durant Kevin Wayne Durant,University of Texas at Austin
Salt Lake City,Utah,Utah Jazz,Aaron Williams,Xavier University
Miami,Florida,Miami Heat,Steven Delano Smith,Michigan State
Boston,Massachusetts,Boston Celtics,Lamar Brandon Stevens,Penn State Nittany Lions
Portland,Oregon,Portland Trail Blazers,Jabari Dominic Walker,Colorado Buffaloes
New York City,New York,New York Knicks,Jamal Crawford Aaron Jamal Crawford,University of Michigan
Toronto,Ontario,Toronto Raptors,Dennis Schröder,
San Francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana Hoosiers
