name,draft_pick,college,team_name
Buddy Hield Chavano Rainer,6,Oklahoma Sooners,Philadelphia 76ers
D'Angelo Russell D'Angelo Russell,2,Ohio State Buckeyes,Los Angeles Lakers
Joel Hans Embiid,3,University of Kansas,Philadelphia 76ers
Paul Clifton Anthony George,10,Fresno State Bulldogs,Philadelphia 76ers
Kyrie Irving,1,Duke Blue Devils,Dallas Mavericks
Jayson Tatum,3,Duke Blue Devils,Boston Celtics
Caleb Martin,17,NC State Wolfpack,Philadelphia 76ers
Andrew Christian Wiggins,1,Kansas Jayhawks,Golden State Warriors
"OG Anunoby Ogugua ""OG"" Anunoby Jr.",23,Indiana University,New York Knicks
Jaylen Marselles Brown,3,"University of California, Berkeley",Boston Celtics
Victor Wembanyama,1,Metropolitans 92,San Antonio Spurs
Jrue Holiday,17,UCLA Bruins,Boston Celtics
Austin Tyler Reaves,17,Wichita State Shockers,Los Angeles Lakers
Kevin Wesley Love,5,UCLA Bruins,Miami Heat
Giannis Antetokounmpo,15,Filathlitikos,Milwaukee Bucks
Stephen Curry,7,Davidson Wildcats,Golden State Warriors
Al Horford,3,University of Florida,Boston Celtics
Tyler Herro,13,University of Kentucky,Miami Heat
Duncan McBryde Robinson,undrafted,Williams College,Miami Heat
Anthony Marshon Davis Jr.,1,Kentucky Wildcats,Los Angeles Lakers
Kyle Anderson (basketball),30,UCLA Bruins,Golden State Warriors
LeBron Raymone James Sr.,1,St. Vincent–St. Mary High School,Los Angeles Lakers
Jimmy Butler III,30,Tyler Junior College,Miami Heat
Kevon Looney Kevon Grant Looney,30,UCLA Bruins,Golden State Warriors
Zach LaVine,13,UCLA Bruins,Chicago Bulls
Kyle Lowry,24,Villanova Wildcats,Philadelphia 76ers
Michael Jeffrey Jordan,3,University of North Carolina,Chicago Bulls
Devin Armani Booker,13,Kentucky Wildcats,Phoenix Suns
Draymond Jamal Green,35th overall,Michigan State Spartans,Golden State Warriors
Zach Collins,10th overall pick in the 2017 NBA draft,Gonzaga Bulldogs,San Antonio Spurs
Jonathan Kuminga,7,,Golden State Warriors
Lonzo Anderson Ball,2,UCLA Bruins,Chicago Bulls
Jaime Jaquez Jr.,18,UCLA Bruins,Miami Heat
Jalen Marquis Brunson,33,Villanova University,New York Knicks
Shaquille Rashaun O'Neal,1,LSU,Orlando Magic
Kobe Bean Bryant,13,Lower Merion High School,Los Angeles Lakers
Christopher Emmanuel Paul,4,Wake Forest University,San Antonio Spurs
Harrison Bryce Jordan Barnes,7,North Carolina Tar Heels,San Antonio Spurs
"Bam Adebayo Edrice Femi ""Bam"" Adebayo",14,University of Kentucky,Miami Heat
Carrick Felix,33rd overall pick,Arizona State Sun Devils,Cleveland Cavaliers
"Kenneth ""Apple"" Green",11,Pan American University,New York Knicks
Donald Robert Anielak,26,Moberly Junior College,New York Knicks
Anthony Avent,15,Seton Hall University,Milwaukee Bucks
Jarrett Matthew Jack,22,Georgia Tech,New York Knicks
"Earvin ""Magic"" Johnson Jr.",1,Michigan State,Los Angeles Lakers
Daniel Edward Anderson,2,,Portland Trail Blazers
Jahlil Okafor,3,Duke,Philadelphia 76ers
Kelvin Trent Tucker,6,University of Minnesota,New York Knicks
Timothy Theodore Duncan,1,Wake Forest Demon Deacons,San Antonio Spurs
Rik Smits,2,Marist College,Indiana Pacers
Anthony Edwards,1,Georgia Bulldogs,Minnesota Timberwolves
Harry Gallatin Harry Junior,20,Northeast Missouri State Teachers' College,New York Knicks
Darnell Hillman,8,San Jose State University,Indiana Pacers
Mark Price William Mark Price,25th overall,Georgia Tech,Cleveland Cavaliers
Kevin Durant Kevin Wayne Durant,2,University of Texas at Austin,Phoenix Suns
William Bedford,6th pick overall,Memphis State University,Phoenix Suns
Steven Delano Smith,5,Michigan State,Miami Heat
Rod Strickland,17,DePaul University,New York Knicks
"Dewayne ""D. J."" White, Jr.",29,Indiana Hoosiers,Cleveland Cavaliers
Jabari Dominic Walker,57,Colorado Buffaloes,Portland Trail Blazers
Jamal Crawford Aaron Jamal Crawford,8,University of Michigan,New York Knicks
Kermit Alan Washington,5,American University,Los Angeles Lakers
Greg Fillmore,8th round,Cheyney University of Pennsylvania,New York Knicks
Dennis Schröder,17,,Toronto Raptors
Trayce Jackson-Davis,57,Indiana Hoosiers,Golden State Warriors
Andre Drummond,9,University of Connecticut,Philadelphia 76ers
