name,age,position,file
Jay Vincent Jay Fletcher Vincent  ,64,forward,Jay_Vincent.txt
Nikola Radičević  ,29,guard,Nikola_Radi.txt
Anthony Marshon Davis Jr.,30,forward,Anthony_Davis.txt
Carrick Felix  ,33,guard,Carrick_Felix.txt
Mychel Thompson  ,35,guard,Mychel_Thompson .txt
Miles Julian Simon  ,47,guard,Miles_Simon.txt
Anthony Edwards,22,guard,Anthony_Edwards.txt
Nicholas William Calathes  ,34,guard,Nick_Calathes.txt
Ronald Moore  ,35,guard,Ronald_Moore.txt
Bill Hewitt  ,79,forward,Bill_Hewitt.txt
Joseph Xavier Forte  ,42,guard,Joseph_Forte.txt
Brandon Goodwin  ,28,guard,Brandon_Goodwin.txt
