name,college,team_name,gdp,city.id,id,player.id,team.id
andrew christian wiggins,Kansas Jayhawks,Golden State Warriors,$729 billion,,,,
anthony edwards,Georgia Bulldogs,Minnesota Timberwolves,,,,,
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,,,,,
darnell hillman,San Jose State University,Indiana Pacers,29th largest metropolitan economy in the U.S.,,,,
devin armani booker,Kentucky Wildcats,Phoenix Suns,362000000000.0,,,,
draymond jamal green,Michigan State Spartans,Golden State Warriors,$729 billion,,,,
"edrice femi ""bam"" adebayo",University of Kentucky,Miami Heat,344900000000.0,,,,
giannis sina ugo antetokounmpo,Filathlitikos,Milwaukee Bucks,102000000000.0,,,,
greg fillmore gregory paul fillmore,Cheyney University of Pennsylvania,New York Knicks,$2.16 trillion,,,,
harrison bryce jordan barnes,North Carolina Tar Heels,San Antonio Spurs,,,,,
"harry junior ""the horse"" gallatin",Northeast Missouri State Teachers' College,New York Knicks,$2.16 trillion,,,,
jabari dominic walker,Colorado Buffaloes,Portland Trail Blazers,,,,,
jaime jaquez,UCLA Bruins,Miami Heat,344900000000.0,,,,
jalen marquis brunson,Villanova University,New York Knicks,$2.16 trillion,,,,
jarrett jack,Georgia Tech,New York Knicks,$2.16 trillion,,,,
jaylen marselles brown,"University of California, Berkeley",Boston Celtics,,,,,
jayson christopher tatum,Duke Blue Devils,Boston Celtics,,,,,
jimmy butler,Tyler Junior College,Miami Heat,344900000000.0,,,,
jonathan malangu kuminga,,Golden State Warriors,$729 billion,,,,
jrue randall holiday,UCLA Bruins,Boston Celtics,,,,,
"kenneth ""apple"" green",Pan American University,New York Knicks,$2.16 trillion,,,,
kevin wayne durant,University of Texas at Austin,Phoenix Suns,362000000000.0,,,,
kevin wesley love,UCLA Bruins,Miami Heat,344900000000.0,,,,
kevon grant looney,UCLA Bruins,Golden State Warriors,$729 billion,,,,
kyle forman anderson,UCLA Bruins,Golden State Warriors,$729 billion,,,,
kyrie andrew irving,Duke Blue Devils,Dallas Mavericks,,,,,
lonzo anderson ball,UCLA Bruins,Chicago Bulls,689000000000.0,,,,
mark price,Georgia Tech,Cleveland Cavaliers,176000000000.0,,,,
"ogugua ""og"" anunoby",Indiana University,New York Knicks,$2.16 trillion,,,,
rik smits,Marist College,Indiana Pacers,29th largest metropolitan economy in the U.S.,,,,
rodney strickland,DePaul University,New York Knicks,$2.16 trillion,,,,
shaquille rashaun o'neal,LSU,Orlando Magic,$13.4 billion,,,,
trayce jackson-davis,Indiana Hoosiers,Golden State Warriors,$729 billion,,,,
trent tucker,University of Minnesota,New York Knicks,$2.16 trillion,,,,
tyler christopher herro,University of Kentucky,Miami Heat,344900000000.0,,,,
victor wembanyama,Metropolitans 92,San Antonio Spurs,,,,,
wardell stephen curry,Davidson Wildcats,Golden State Warriors,$729 billion,,,,
zach collins,Gonzaga Bulldogs,San Antonio Spurs,,,,,
zachary thomas lavine,UCLA Bruins,Chicago Bulls,689000000000.0,,,,
