name,birth_date,team_name,area
anthony marshon davis,1993/3/11,Los Angeles Lakers,1210.0
austin tyler reaves,1998/5/29,Los Angeles Lakers,1210.0
"chavano rainer ""buddy"" hield",1992/12/17,Golden State Warriors,121.0
christopher emmanuel paul,1985/5/6,San Antonio Spurs,1205.4
d'angelo russell,1996/2/23,Los Angeles Lakers,1210.0
devin armani booker,1996/10/30,Phoenix Suns,1341.0
don anielak,1930/11/1,New York Knicks,778.2
greg fillmore gregory paul fillmore,1947/3/7,New York Knicks,778.2
harrison bryce jordan barnes,1992/5/30,San Antonio Spurs,1205.4
jalen marquis brunson,1996/8/31,New York Knicks,778.2
jayson christopher tatum,1998/3/3,Boston Celtics,125.0
"kenneth ""apple"" green",1959/9/19,New York Knicks,778.2
kobe bean bryant,1978/8/23,Los Angeles Lakers,1210.0
kyle forman anderson,1993/9/20,Golden State Warriors,121.0
lebron raymone james,1984/12/30,Los Angeles Lakers,1210.0
"ogugua ""og"" anunoby",1997/7/17,New York Knicks,778.2
tim duncan,1976/4/25,San Antonio Spurs,1205.4
vernon maxwell,1965/9/12,Dallas Mavericks,999.3
victor wembanyama,2004/1/4,San Antonio Spurs,1205.4
