name,birth_date,team_name,area,city.id,id,player.id,team.id
anthony marshon davis,,Los Angeles Lakers,"502.7 square miles (1,302 km2)",,,,
austin tyler reaves,"May 29, 1998",Lakers,"502.7 square miles (1,302 km2)",,,,
"chavano rainer ""buddy"" hield",,Sacramento Kings,100.1 square miles (259 km2),,,,
christopher emmanuel paul,1985/5/6,San Antonio Spurs,"465.4 square miles (1,205.4 km2)",,,,
d'angelo russell,"February 23, 1996",Los Angeles Lakers,"502.7 square miles (1,302 km2)",,,,
devin armani booker,199601030,Phoenix Suns,"517.9 square miles (1,341 km2)",,,,
don anielak,"November 1, 1930",New York Knicks,300.46,,,,
greg fillmore gregory paul fillmore,1947/3/7,New York Knicks,300.46,,,,
harrison bryce jordan barnes,"May 30, 1992",San Antonio Spurs,"465.4 square miles (1,205.4 km2)",,,,
jalen marquis brunson,1996/8/31,New York Knicks,300.46,,,,
jayson christopher tatum,"March 22, 1998",Celtics,48.4,,,,
"kenneth ""apple"" green",1959/9/19,New York Knicks,300.46,,,,
kobe bean bryant,"August 23, 1978",Los Angeles Lakers,"502.7 square miles (1,302 km2)",,,,
kyle forman anderson,"September 20, 1993",San Antonio Spurs,"465.4 square miles (1,205.4 km2)",,,,
lebron raymone james,"January 20, 1984",Lakers,"502.7 square miles (1,302 km2)",,,,
"ogugua ""og"" anunoby",,New York Knicks,300.46,,,,
tim duncan,,San Antonio Spurs,"465.4 square miles (1,205.4 km2)",,,,
vernon maxwell,"September 12, 1965",Houston Rockets,"640.4 square miles (1,659 km2)",,,,
victor wembanyama,1997/8/7,San Antonio Spurs,"465.4 square miles (1,205.4 km2)",,,,
