name,nationality,age,id,player.id
aaron williams,American,,,
andre jamal drummond,American,,,
andrew christian wiggins,Canadian,,,
anthony avent,American,,,
anthony edwards,American,,,
anthony marshon davis,,,,
antonius cleveland,American,,,
askia rahman jones,American-Venezuelan,,,
ausar xlnc thompson,American,,,
austin tyler reaves,American,,,
brandan keith wright,American,,,
brandon goodwin,American,,,
cade parker cunningham,American,,,
caleb martin,American,,,
calvin ramsey,,,,
carrick felix,American,,,
"chavano rainer ""buddy"" hield",Bahamian,,,
christopher emmanuel paul,American,,,
d'angelo russell,American,,,
darnell hillman,,,,
david lattin,American,,,
david michineau,French,,,
derek grimm,American,,,
derrick chievous,,,,
devin armani booker,,,,
devontae cacok,American,,,
"dewayne ""d j"" white",,,,
donta hall,American-born naturalized Azerbaijani,,,
donyell marshall,,,,
draymond jamal green,American,,,
drew edward gordon,American,,,
dwayne kenneth schintzius,American,,,
ed dahler edward dahler,American,,,
"edrice femi ""bam"" adebayo",Nigerian-American,,,
elmer h behnke,,,,
erazem lorbek,Slovenian,,,
eric johnson jones,American-Spanish,,,
erick strickland,,,,
fran curran francis hugh curran,American,,,
garfield smith,American,,,
garry witts garrett david witts,American,,,
gene dyker eugene walter dyker,,,,
gerald madkins,American,,,
giannis sina ugo antetokounmpo,Greek and Nigerian,,,
greg fillmore gregory paul fillmore,,,,
gregory clinton foster,American,,,
guy william rodgers,American,,,
hamidou diallo,American,,,
harrison bryce jordan barnes,American,,,
"harry junior ""the horse"" gallatin",American,,,
isiah thomas,American,,,
jabari dominic walker,,,,
jack parr,,,,
jaden edward dhananjay ivey,American,,,
jahlil okafor,Nigerian-American,,,
jaime jaquez,Mexican-American (dual citizen),,,
jalen marquis brunson,American,,,
jamal crawford,,,,
james patrick walsh,American,,,
jarrett jack,American,,,
jay vincent jay fletcher vincent,United States,,,
jaylen marselles brown,,,,
jayson christopher tatum,American,,,
jimmy butler,American,,,
joel hans embiid,Cameroonian-American,,,
john harding lucas,American,,,
jonathan malangu kuminga,Congolese,,,
jordan lee crawford,American,,,
joseph xavier forte,American,,,
jrue randall holiday,American,,,
"kenneth ""apple"" green",American,,,
kermit washington,,,,
kevin wayne durant,American,,,
kevin wesley love,American,,,
kevon grant looney,American,,,
kobe bean bryant,,,,
kurt thomas,American,,,
kyle forman anderson,American-Chinese,,,
kyle terrell lowry,American,,,
kyrie andrew irving,American,,,
lamar brandon stevens,American,,,
larry robinson,Canadian,,,
lavoy allen,American,,,
lebron raymone james,American,,,
leroy patrick chollet,American,,,
lonzo anderson ball,American,,,
mark jeffrey radford,American,,,
mark price,American,,,
"marvin ""mickey"" rottner",American,,,
marvin roberts,American,,,
max berning fiedler,American,,,
michael carter-williams,American,,,
michael jeffrey jordan,,,,
miles julian simon,"American (father), Norwegian (mother)",,,
"monti davis damon william ""monti"" davis",American,,,
mychel thompson,,,,
nathaniel thomas huffman,,,,
nicholas william calathes,Greek-American,,,
"ogugua ""og"" anunoby",British,,,
paul clifton anthony george,American,,,
philip douglas jackson,,,,
rick hughes,American,,,
rik smits,Dutch,,,
rod derline,,,,
rodney strickland,American,,,
ronald moore,American,,,
shaquille rashaun o'neal,,,,
shawn christopher respert,American,,,
sidney harold tanenbaum,American,,,
stanley m noszka,,,,
steve smith,American,,,
tim duncan,American,,,
tony lorenzo delk,American,,,
trayce jackson-davis,American,,,
trent tucker,American,,,
tyler christopher herro,American,,,
vernon maxwell,American,,,
victor wembanyama,French,,,
walter berry,American,,,
wardell stephen curry,,,,
wayne lavern robinson,,,,
william bedford,American,,,
zach collins,American,,,
zachary thomas lavine,American,,,
