name,nationality,age,team
Toby Kimball,USA,,Boston Celtics||San Diego Rockets||Milwaukee Bucks||Kansas City Kings||Philadelphia 76ers||New Orleans Jazz
,,,
,,,
Ken Green,USA,,New York Knicks
Don Anielak,USA,,New York Knicks
Ed Dahler,USA,,Philadelphia Warriors
Dwayne Schintzius,USA,,
Guy William Rodgers,USA,65,
Fran Curran,USA,,Rochester Royals
James Patrick Walsh,USA,,Philadelphia Warriors
Cal Ramsey,USA,,New York Knicks
Gene Dyker,USA,,Milwaukee Hawks
Harry Gallatin,USA,,New York Knicks
Jim Brasco,USA,,Syracuse Nationals||Milwaukee Hawks
Mark Price,USA,,Charlotte 49ers
Fred Boyd,USA,73,
Elmer Behnke,USA,,Milwaukee Hawks
"Marvin ""Mickey"" Rottner",USA,,Chicago Stags
Dick Rosenthal,USA,91,Fort Wayne Pistons
Wayne Robinson,USA,,Philadelphia Eagles
John Lucas II,USA,,Houston Rockets
Dick Surhoff,USA,,New York Knicks||Milwaukee Hawks
Leroy Chollet,USA||,,Syracuse Nationals
Monti Davis,USA,,Philadelphia 76ers
