university_name,academic_calendar,total_undergraduate_enrollment
Concordia University Chicago,semester,1270
United States Coast Guard Academy,semester,973
Morningside College,semester,1239
Chestnut Hill College,semester,1480
North Carolina Wesleyan College,semester,1449
Crown College,semester,1061
Macalester College,semester,1996
College of Mount St. Vincent,semester,1555
Virginia Union University,semester,1307
Columbia College SC,semester,1189
Freed-Hardeman University,semester,1496
Harvey Mudd College,semester,757
Jamestown College,semester,1010
Woodbury University,semester,1301
St. Joseph's College,semester,1010
Rollins College,semester,1773
Westmont College,semester,1304
Catawba College,semester,1324
Wesleyan College,semester,624
Santa Fe University of Art and Design,semester,195
New England College,semester,1014
Piedmont College,semester,1268
