name,position,team_name,founded_year
andre jamal drummond,Frontcourt,Philadelphia 76ers,1946
andrew christian wiggins,,Golden State Warriors,1946
austin tyler reaves,,Los Angeles Lakers,1946
bill hewitt,Frontcourt,Los Angeles Lakers,1946
caleb martin,Frontcourt,Philadelphia 76ers,1946
"chavano rainer ""buddy"" hield",,Golden State Warriors,1946
christopher emmanuel paul,Backcourt,San Antonio Spurs,1967
d'angelo russell,Backcourt,Los Angeles Lakers,1946
dan anderson,,Portland Trail Blazers,1970
darnell hillman,Frontcourt,Golden State Warriors,1946
derrick chievous,Frontcourt,Cleveland Cavaliers,1970
devin armani booker,Backcourt,Phoenix Suns,1968
draymond jamal green,Frontcourt,Golden State Warriors,1946
drew edward gordon,Frontcourt,Philadelphia 76ers,1946
duncan mcbryde robinson,,Miami Heat,1988
"edrice femi ""bam"" adebayo",,Miami Heat,1988
eric johnson jones,,Utah Jazz,1974
erick strickland,,Milwaukee Bucks,1968
giannis sina ugo antetokounmpo,Frontcourt,Milwaukee Bucks,1968
gregory clinton foster,Frontcourt,Indiana Pacers,1967
jamal crawford,,Brooklyn Nets,1967
jarrett jack,,Detroit Pistons,1937
jaylen marselles brown,Backcourt,Boston Celtics,1946
jayson christopher tatum,,Boston Celtics,1946
jimmy butler,,Miami Heat,1988
kermit washington,Frontcourt,Golden State Warriors,1946
kevin wayne durant,Frontcourt,Phoenix Suns,1968
kevin wesley love,,Miami Heat,1988
kevon grant looney,Frontcourt,Golden State Warriors,1946
kyle forman anderson,,Golden State Warriors,1946
kyle terrell lowry,Backcourt,Philadelphia 76ers,1946
kyrie andrew irving,,Dallas Mavericks,1980
lamar brandon stevens,,Memphis Grizzlies,1995
lavoy allen,,Philadelphia 76ers,1946
miles julian simon,Backcourt,Phoenix Suns,1968
"monti davis damon william ""monti"" davis",Frontcourt,Dallas Mavericks,1980
paul clifton anthony george,,Philadelphia 76ers,1946
rik smits,Frontcourt,Indiana Pacers,1967
steve kerr,Frontcourt,Golden State Warriors,1946
vernon maxwell,Backcourt,Dallas Mavericks,1980
zach collins,,San Antonio Spurs,1967
zachary thomas lavine,,Chicago Bulls,1966
