name,position,city_name,population,city.id,id,player.id,team.id
andre jamal drummond,Center,Philadelphia,1603797.0,,,,
anthony edwards,shooting guard,Minneapolis,429954.0,,,,
anthony marshon davis,,Los Angeles,3792621.0,,,,
ausar xlnc thompson,,Detroit,639111.0,,,,
austin tyler reaves,,Los Angeles,3792621.0,,,,
caleb martin,small forward,Philadelphia,1603797.0,,,,
d'angelo russell,Point Guard,Los Angeles,3792621.0,,,,
drew edward gordon,power forward,Philadelphia,1603797.0,,,,
duncan mcbryde robinson,,Miami,442241.0,,,,
"edrice femi ""bam"" adebayo",,Miami,442241.0,,,,
giannis sina ugo antetokounmpo,forward,Milwaukee,577222.0,,,,
jaden edward dhananjay ivey,,Detroit,639111.0,,,,
jaime jaquez,,Miami,442241.0,,,,
joel hans embiid,,Philadelphia,1603797.0,,,,
kyrie andrew irving,,Dallas,,,,,
lonzo anderson ball,Point guard,Chicago,,,,,
max berning fiedler,,Philadelphia,1603797.0,,,,
tyler christopher herro,Shooting Guard,Miami,442241.0,,,,
victor wembanyama,,San Antonio,,,,,
zach collins,,San Antonio,,,,,
zachary thomas lavine,,Chicago,,,,,
