name,age,draft_pick,NBA_championships,file
Stephen Douglas Kerr,59, second round of the 1988 NBA draft,9,Steve_Kerr.txt
Anthony Edwards,23,1,NAN,Anthony_Edwards.txt
Larry Robinson,73,NAN,6,Larry_Robinson.txt
Michael Carter-Williams,33,11,NAN,Michael_Carter-Williams.txt
Brandan Wright,37,8,NAN,Brandan_Wright.txt
Phil Jackson,79,NAN,11,Phil_Jackson.txt
Tim Duncan,48,1,5,Tim_Duncan.txt
Anthony Davis,31,1,2,Anthony_Davis.txt
Don Anielak,94,26,NAN,Don_Anielak.txt
Jahlil Okafor,29,3,NAN,Jahlil_Okafor.txt
Trent Tucker,64,6,1,Trent_Tucker.txt
Magic Johnson,65,1,5,Magic_Johnson.txt
