name,draft_pick,college
Antonius Cleveland,0.0,Southeast Missouri State University
Jay Vincent Jay Fletcher Vincent,24.0,Michigan State Spartans
Nikola Radi?evi?,57.0,
Fran Curran Francis Hugh Curran Sr.,0.0,University of Notre Dame
Mark Price,25.0,Georgia Tech
David Michineau,0.0,
Donta Hall,0.0,Alabama
Erick Strickland,0.0,University of Nebraska
David Lattin,10.0,Texas Western College
Toby Kimball,0.0,University of Connecticut
Derek Grimm,0.0,University of Missouri
Anthony Marshon Davis Jr.,1.0,Kentucky
Brandan Keith Wright,8.0,University of North Carolina at Chapel Hill
Askia Rahman Jones,0.0,Kansas State University
Carrick Felix,33.0,Arizona State
Mychel Thompson,0.0,Pepperdine University
Marvin Roberts,45.0,Utah State University
"Kenneth ""Apple"" Green",11.0,Pan American University
Gerald Madkins Jr.,0.0,"University of California, Los Angeles"
Don Anielak,26.0,Southwest Missouri State University
Philip Douglas Jackson,2.0,University of North Dakota
Anthony Avent,15.0,Seton Hall University
Drew Edward Gordon,0.0,UCLA
Jarrett Jack,22.0,Georgia Tech
Rick Hughes,0.0,Thomas More College
Lavoy Allen,50.0,Temple University
Ed Dahler Edward Dahler Jr.,14.0,Duquesne
Magic Johnson,1.0,Michigan State
Stanley M. Noszka,0.0,
Isiah Thomas,2.0,Indiana Hoosiers
Dan Anderson,2.0,
Jahlil Okafor,3.0,Duke
Trent Tucker,6.0,University of Minnesota
Dwayne Kenneth Schintzius,24.0,University of Florida
Miles Julian Simon,0.0,University of Arizona
Guy William Rodgers,1.0,Temple University
Vernon Maxwell,2.0,University of Florida
Tim Duncan,1.0,Wake Forest University
Walter Berry,14.0,St. John's University
James Patrick Walsh,0.0,Stanford University
Tony Lorenzo Delk,16.0,Kentucky
Calvin Ramsey,13.0,NYU
Gene Dyker Eugene Walter Dyker,0.0,
Derrick Chievous,16.0,University of Missouri
Rik Smits,2.0,Marist College
Anthony Edwards,1.0,Georgia
"Harry Junior ""The Horse"" Gallatin",20.0,Northeast Missouri State Teachers' College
Jim Brasco,1.0,New York University
Darnell Hillman,8.0,San Jose State University
Larry Robinson,0.0,
Nicholas William Calathes,35.0,University of Florida
Rod Derline,169.0,Seattle University
Kurt Thomas,0.0,Texas Christian University
Kevin Wayne Durant,2.0,University of Texas at Austin
Aaron Williams,0.0,Xavier University
Nathaniel Thomas Huffman,0.0,Central Michigan University
Fred Boyd,5.0,Oregon State University
William Bedford,6.0,Memphis State University
Steve Smith,5.0,Michigan State
Shawn Christopher Respert,8.0,Michigan State
Rodney Strickland,19.0,DePaul University
Elmer H. Behnke,35.0,Bradley University
Lamar Brandon Stevens,0.0,Penn State Nittany Lions
Erazem Lorbek,2.0,Michigan State University
"Marvin ""Mickey"" Rottner",0.0,Loyola University in Chicago
Hamidou Diallo,45.0,University of Kentucky
"Dewayne ""D. J."" White, Jr.",29.0,Indiana Hoosiers
Steve Kerr,50.0,University of Arizona
Gregory Clinton Foster,35.0,UTEP
Bill Hewitt,0.0,University of Southern California
Joseph Xavier Forte,21.0,University of North Carolina at Chapel Hill
Dino_Ra?a,40.0,
Mark Jeffrey Radford,53.0,Oregon State University
Kostas Papanikolaou,48.0,
Garry Witts Garrett David Witts,0.0,
Jabari Dominic Walker,57.0,Colorado
Devontae Cacok,0.0,UNC Wilmington
Brandon Goodwin,0.0,"UCF Knights, Florida Gulf Coast Eagles"
Dick Rosenthal,1.0,Notre Dame
Jamal Crawford,8.0,University of Michigan
