name,team,position,nationality,draft_year
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Paul Clifton Anthony George,Philadelphia 76ers,Frontcourt,American,2010
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Tatum,Duke University,Frontcourt,American,2017
Caleb Martin,Miami Heat,Frontcourt,American,2019
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Jaylen Marselles Brown,Boston Celtics,Frontcourt,American,2016
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Giannis Antetokounmpo,Milwaukee Bucks,Frontcourt,Greek,2013
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Cade Cunningham,Detroit Pistons,Frontcourt,American,2021
LeBron James,Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Kevon Looney,Warriors,Frontcourt,American,2016
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Lonzo Ball,Los Angeles Lakers,Frontcourt,American,2017
Ausar Thompson,Detroit Pistons,Frontcourt,American,2023
Jalen Brunson,Villanova,Frontcourt,American,2018
Chris Paul,Phoenix Suns,Frontcourt,American,2005
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Bam Adebayo,University of Kentucky,Frontcourt,American,2017
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Allen,Temple,Frontcourt,American,None
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Okafor,DePaul Blue Demons men's basketball,Frontcourt,American,2014
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
Donta Hall,Saski Baskonia,Frontcourt,American-born naturalized Azerbaijani,None
Greg Foster,Indiana Pacers,Frontcourt,American,1990
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
LeBron James,Los Angeles Lakers,Frontcourt,American,2003
