city_name,state_name,population
Denver,Colorado,715522.0
Boston,Massachusetts,675647.0
Indianapolis,Indiana,887642.0
Dallas,Texas,1304379.0
San Antonio,Texas,1434625.0
Los Angeles,California,
Minneapolis,Minnesota,369000.0
Miami,Florida,
Inglewood,California,107762.0
Portland,Oregon,1800000.0
San Francisco,,873965.0
Philadelphia,Pennsylvania,1603797.0
New Orleans,Louisiana,383997.0
Chicago,Illinois,2746388.0
Orlando,Florida,307573.0
Salt Lake City,Utah,200133.0
Toronto,Ontario,2794356.0
Phoenix,Arizona,
Washington,,
Cleveland,Ohio,372624.0
Houston,Texas,2314157.0
Sacramento,California,466488.0
Detroit,Michigan,
Memphis,Tennessee,633104.0
Charlotte,North Carolina,874579.0
New York City,,
Oklahoma City,Oklahoma,
Milwaukee,Wisconsin,594833.0
Atlanta,Georgia,510823.0
