name,nba_team,own_year
Tom Gores,,1995.0
Dan Gilbert,,2005.0
Steve Ballmer,,
Dan DeVos,Orlando Magic,1991.0
Mark Cuban,Oklahoma City Thunder (as of provided information),2000.0
Tilman Joseph Fertitta,Houston Rockets,2017.0
Joseph Tsai,Brooklyn Nets,2019.0
Clay Bennett,Oklahoma City Thunder,2006.0
Herbert A. Simon,Indiana Pacers,1983.0
Jerry Reinsdorf,Chicago Bulls,1985.0
Gayle Marie LaJaunie Bird Benson,"New Orleans Saints, New Orleans Pelicans",2014.0
Stan Kroenke,Denver Nuggets,2000.0
Joshua Jordan Harris,,1990.0
James L. Dolan,,
Micky Arison,Miami Heat,1995.0
Joseph Steven Lacob,Golden State Warriors,2010.0
