team_name,ownership,championship
Celtics,,18
Bulls,,1991||1992||1997||1998||1999||2000
Cleveland Cavaliers,"{""George and Gordon Gund"": {""years"": [1983, 2023]}, ""Ted Stepien"": {""years"": [1980, 1983]}}",2016
Mavericks,Don Carter||James Garner||Norm Sonju,2011
Pistons,"Bill Davidson (until 2009), Karen Davidson, Tom Gores",1989||1990||2004
Golden State Warriors,,1947||1956||2015||2017||2018||2022
Rockets,Leslie Alexander (since 1993),1994||2001
Indiana Pacers,,1970||1972||1973
Lakers,Various owners including Jerry Buss,17
Miami Heat,Carnival Cruise Lines (Micky Arison),1988–89||2006||2012||2013
Bucks,"Wes Edens and Marc Lasry (since April 16, 2014)",1971||2021
Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),1955||1967||1983
Portland Trail Blazers,Paul Allen (since 1988),1977
Sacramento Kings,,1951
San Antonio Spurs,,1999||2003||2005||2007||2014
Raptors,,2019
Wizards,,1978
