championship,location,age,olympic_gold_medals,name,id,player.id,team.id
0.0,Salt Lake City,53.0,,aaron williams,,,
8.0,San Francisco,29.0,0.0,andrew christian wiggins,,,
0.0,Minneapolis,23.0,1.0,anthony edwards,,,
17.0,Los Angeles,32.0,3.0,anthony marshon davis,,,
17.0,Los Angeles,26.0,0.0,austin tyler reaves,,,
8.0,San Francisco,,0.0,brandan keith wright,,,
4.0,downtown Detroit,23.0,0.0,cade parker cunningham,,,
,Charlotte,27.0,0.0,caleb martin,,,
2.0,New York,,,calvin ramsey,,,
0.0,New Orleans,23.0,0.0,"chavano rainer ""buddy"" hield",,,
5.0,San Antonio,38.0,2.0,christopher emmanuel paul,,,
17.0,Los Angeles,27.0,0.0,d'angelo russell,,,
3.0,Indianapolis,,,darnell hillman,,,
0.0,Phoenix,28.0,2.0,devin armani booker,,,
8.0,San Francisco,35.0,2.0,draymond jamal green,,,
1.0,Miami,31.0,0.0,duncan mcbryde robinson,,,
1.0,Miami,25.0,1.0,"edrice femi ""bam"" adebayo",,,
3.0,Dallas,51.0,0.0,erick strickland,,,
18.0,Boston,80.0,,garfield smith,,,
3.0,Milwaukee,31.0,0.0,giannis sina ugo antetokounmpo,,,
2.0,New York,78.0,,greg fillmore gregory paul fillmore,,,
5.0,San Antonio,33.0,1.0,harrison bryce jordan barnes,,,
2.0,New York,,0.0,"harry junior ""the horse"" gallatin",,,
4.0,downtown Detroit,63.0,0.0,isiah thomas,,,
1.0,Miami,24.0,0.0,jaime jaquez,,,
2.0,New York,29.0,0.0,jalen marquis brunson,,,
1.0,Atlanta,25.0,0.0,jamal crawford,,,
4.0,downtown Detroit,,,jarrett jack,,,
3.0,Dallas,,,jay vincent jay fletcher vincent,,,
18.0,Boston,27.0,0.0,jaylen marselles brown,,,
18.0,Boston,27.0,2.0,jayson christopher tatum,,,
1.0,Miami,35.0,1.0,jimmy butler,,,
3.0,Philadelphia,31.0,1.0,joel hans embiid,,,
2.0,Houston,72.0,0.0,john harding lucas,,,
8.0,San Francisco,23.0,0.0,jonathan malangu kuminga,,,
18.0,Boston,34.0,2.0,jrue randall holiday,,,
2.0,New York,66.0,,"kenneth ""apple"" green",,,
18.0,Boston,21.0,0.0,kermit washington,,,
2.0,Cleveland,36.0,1.0,kevin wesley love,,,
8.0,San Francisco,28.0,0.0,kevon grant looney,,,
17.0,Los Angeles,37.0,2.0,kobe bean bryant,,,
2.0,New York,52.0,0.0,kurt thomas,,,
8.0,San Francisco,31.0,0.0,kyle forman anderson,,,
3.0,Toronto,39.0,1.0,kyle terrell lowry,,,
3.0,Dallas,33.0,2.0,kyrie andrew irving,,,
18.0,Boston,28.0,0.0,lamar brandon stevens,,,
17.0,Los Angeles,39.0,5.0,lebron raymone james,,,
6.0,Chicago,26.0,0.0,lonzo anderson ball,,,
17.0,Los Angeles,36.0,1.0,magic johnson,,,
2.0,Cleveland,,0.0,mark price,,,
3.0,Philadelphia,23.0,,max berning fiedler,,,
3.0,Philadelphia,,,"monti davis damon william ""monti"" davis",,,
2.0,New York,25.0,0.0,"ogugua ""og"" anunoby",,,
3.0,Philadelphia,35.0,1.0,paul clifton anthony george,,,
3.0,Indianapolis,,,rik smits,,,
2.0,New York,,0.0,rodney strickland,,,
1.0,Orlando,,0.0,shaquille rashaun o'neal,,,
8.0,San Francisco,25.0,0.0,trayce jackson-davis,,,
1.0,Miami,24.0,0.0,tyler christopher herro,,,
2.0,Houston,57.0,,vernon maxwell,,,
5.0,San Antonio,21.0,0.0,victor wembanyama,,,
8.0,San Francisco,37.0,2.0,wardell stephen curry,,,
5.0,San Antonio,27.0,0.0,zach collins,,,
6.0,Chicago,28.0,1.0,zachary thomas lavine,,,
