founded_year,team_name,name,team
1946,Golden State Warriors,Buddy Hield Chavano Rainer 'Buddy' Hield,Golden State Warriors
1946,Los Angeles Lakers,D'Angelo Russell D'Angelo Russell,Los Angeles Lakers
1946,Philadelphia 76ers,Joel Hans Embiid,Philadelphia 76ers
1946,Philadelphia 76ers,Paul Clifton Anthony George,Philadelphia 76ers
2000,Dallas Mavericks,Kyrie Andrew Irving,Dallas Mavericks
1946,Boston Celtics,Jayson Tatum,Boston Celtics
1988,Miami Heat,Caleb Martin,Miami Heat
1946,Golden State Warriors,Andrew Christian Wiggins,Golden State Warriors
1946,Philadelphia 76ers,Max Fiedler,Philadelphia 76ers
1946,New York Knicks,OG Anunoby Jr.,New York Knicks
1946,Boston Celtics,Jaylen Marselles Brown,Boston Celtics
1967,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs
1946,Los Angeles Lakers,Austin Tyler Reaves,Los Angeles Lakers
1988,Miami Heat,Kevin Wesley Love,Miami Heat
1946,Golden State Warriors,Stephen Curry,Golden State Warriors
1946,Boston Celtics,Al Horford,Boston Celtics
1988,Miami Heat,Tyler Herro,Miami Heat
1988,Miami Heat,Duncan McBryde Robinson,Miami Heat
1946,Los Angeles Lakers,Anthony Marshon Davis Jr.,Los Angeles Lakers
1946,Golden State Warriors,Kyle Anderson,Golden State Warriors
1937,Detroit Pistons,Cade Cunningham,Detroit Pistons
1946,Los Angeles Lakers,LeBron Raymone James Sr.,Los Angeles Lakers
1988,Miami Heat,Jimmy Butler III,Miami Heat
1946,Golden State Warriors,Kevon Looney,Golden State Warriors
1966,Chicago Bulls,Zach LaVine Zachary Thomas LaVine,Chicago Bulls
1937,Detroit Pistons,Jaden Edward Dhananjay Ivey,Detroit Pistons
1946,Philadelphia 76ers,Kyle Lowry,Philadelphia 76ers
1966,Chicago Bulls,Michael Jeffrey Jordan,Chicago Bulls
1968,Phoenix Suns,Devin Armani Booker,Phoenix Suns
1946,Golden State Warriors,Brandan Keith Wright,Golden State Warriors
1946,Golden State Warriors,Draymond Jamal Green,Golden State Warriors
1970,Portland Trail Blazers,Zach Collins,Portland Trail Blazers
1946,Golden State Warriors,Jonathan Malangu Kuminga,Golden State Warriors
1966,Chicago Bulls,Lonzo Anderson Ball,Chicago Bulls
1988,Miami Heat,Jaime Jaquez Jr.,Miami Heat
1937,Detroit Pistons,Ausar XLNC Thompson,Detroit Pistons
1946,New York Knicks,Jalen Marquis Brunson,New York Knicks
1989,Orlando Magic,Shaquille Rashaun O'Neal,Orlando Magic
1946,Los Angeles Lakers,Kobe Bean Bryant,Los Angeles Lakers
1967,San Antonio Spurs,Christopher Emmanuel Paul,San Antonio Spurs
1967,San Antonio Spurs,Harrison Bryce Jordan Barnes,San Antonio Spurs
1988,Miami Heat,Bam Adebayo,Miami Heat
1937,Detroit Pistons,Marvin Roberts,Detroit Pistons
1946,New York Knicks,"Kenneth ""Apple"" Green",New York Knicks
2000,Dallas Mavericks,Jay Fletcher Vincent,Dallas Mavericks
1977,Atlanta Hawks,Anthony Avent,Atlanta Hawks
1946,Philadelphia 76ers,Drew Edward Gordon,Philadelphia 76ers
1967,Denver Nuggets,Jarrett Matthew Jack,Denver Nuggets
1946,Los Angeles Lakers,Earvin Johnson,Los Angeles Lakers
1937,Detroit Pistons,Isiah Lord Thomas III,Detroit Pistons
1970,Portland Trail Blazers,Daniel Edward Anderson,Portland Trail Blazers
1946,New York Knicks,Kelvin Trent Tucker,New York Knicks
1967,San Antonio Spurs,Dwayne Kenneth Schintzius,San Antonio Spurs
1967,Houston Rockets,Vernon Maxwell,Houston Rockets
1967,San Antonio Spurs,Timothy Theodore Duncan,San Antonio Spurs
1970,Portland Trail Blazers,Walter Berry,Portland Trail Blazers
1988,Charlotte Hornets,Tony Lorenzo Delk,Charlotte Hornets
1946,New York Knicks,Calvin Ramsey,New York Knicks
1967,Houston Rockets,Derrick Joseph Chievous,Houston Rockets
1967,Indiana Pacers,Rik Smits,Indiana Pacers
1989,Minnesota Timberwolves,Anthony Edwards,Minnesota Timberwolves
1946,New York Knicks,"Harry Gallatin Harry Junior ""The Horse"" Gallatin",New York Knicks
1967,Indiana Pacers,Darnell Hillman,Indiana Pacers
1970,Cleveland Cavaliers,Mark Price William Mark Price,Cleveland Cavaliers
1966,Chicago Bulls,Kurt Vincent Thomas,Chicago Bulls
1968,Phoenix Suns,Kevin Wayne Durant,Phoenix Suns
1974,Utah Jazz,Aaron Williams,Utah Jazz
1968,Phoenix Suns,William Bedford,Phoenix Suns
1970,Portland Trail Blazers,Shawn Christopher Respert,Portland Trail Blazers
1970,Portland Trail Blazers,Rodney Strickland,Portland Trail Blazers
1946,Boston Celtics,Lamar Brandon Stevens,Boston Celtics
1966,Chicago Bulls,Stephen Douglas Kerr,Chicago Bulls
1946,Los Angeles Lakers,William Severlyn Hewitt,Los Angeles Lakers
1946,Boston Celtics,Joseph Xavier Forte,Boston Celtics
1946,Boston Celtics,Dino Rađa,Boston Celtics
1970,Portland Trail Blazers,Jabari Dominic Walker,Portland Trail Blazers
2000,Dallas Mavericks,Erick Strickland,Dallas Mavericks
1977,Atlanta Hawks,Jamal Crawford Aaron Jamal Crawford,Atlanta Hawks
1946,Boston Celtics,Kermit Alan Washington,Boston Celtics
1989,Minnesota Timberwolves,Donyell Lamar Marshall,Minnesota Timberwolves
1946,New York Knicks,Greg Fillmore,New York Knicks
1967,Houston Rockets,John Harding Lucas II,Houston Rockets
1946,Boston Celtics,Garfield Smith,Boston Celtics
