draft_pick,team_name,fiba_world_cup,location
3.0,Philadelphia 76ers,1.0,Philadelphia
10.0,Philadelphia 76ers,1.0,Philadelphia
1.0,Dallas Mavericks,2.0,Dallas
3.0,Boston Celtics,2.0,Boston
42.0,Los Angeles Lakers,2023.0,Crypto.com Arena
7.0,Golden State Warriors,3.0,Oakland
1.0,Los Angeles Lakers,2.0,Crypto.com Arena
30.0,Golden State Warriors,1.0,Oakland
1.0,Detroit Pistons,1.0,Downtown Detroit
1.0,Los Angeles Lakers,2.0,Crypto.com Arena
5.0,Detroit Pistons,1.0,Downtown Detroit
3.0,Chicago Bulls,2.0,Chicago
33.0,New York Knicks,2015.0,Manhattan
1.0,Orlando Magic,1.0,Orlando
13.0,Los Angeles Lakers,2.0,Crypto.com Arena
7.0,San Antonio Spurs,1.0,San Antonio
1.0,Los Angeles Lakers,1.0,Crypto.com Arena
1.0,San Antonio Spurs,1.0,San Antonio
2.0,Indiana Pacers,1986.0,Indianapolis
1.0,Minnesota Timberwolves,1.0,Minneapolis
25.0,Cleveland Cavaliers,1994.0,Cleveland
2.0,Phoenix Suns,2.0,Phoenix
43.0,Chicago Bulls,1.0,Chicago
1.0,Houston Rockets,1.0,Houston
17.0,Brooklyn Nets,1.0,Brooklyn
9.0,Philadelphia 76ers,1.0,Philadelphia
