id,disease_name,disease_type
disease_0,Chlamydia,infectious
disease_1,Type 2 Diabetes Mellitus,metabolic||endocrine
disease_2,Pleural Effusion,inflammatory||infectious||vascular||others
disease_3,Irritable Bowel Syndrome (IBS),functional
disease_4,Diabetes type 1,autoimmune||endocrine
disease_5,Vohwinkel syndrome,genetic
disease_6,Gout,metabolic||inflammatory
disease_7,Lung Cancer,neoplastic
disease_8,Multiple Myeloma,neoplastic
disease_9,Phantom Limb Pain,traumatic
disease_10,Opioid-Induced Constipation,iatrogenic
disease_11,Rocky Mountain Spotted Fever||RMSF,infectious||inflammatory||vascular
disease_12,Acute Graft-Versus-Host Disease,iatrogenic||inflammatory
disease_13,Pyoderma gangrenosum,inflammatory
disease_14,Herpes Simplex Virus Infection||cold sores||genital herpes,infectious||genetic
disease_15,Asthma,autoimmune||allergic
disease_16,Legionnaires' Disease,infectious
disease_17,Cystic Fibrosis,genetic
disease_18,Antibiotic-associated diarrhea,iatrogenic||infectious
disease_19,Hemophilia B,genetic
disease_20,Attention-Deficit Hyperactivity Disorder,psychiatric
disease_21,Microcytic Anemia,genetic||congenital||nutritional||inflammatory||toxic||others
disease_22,Birth Control Heart Attack,vascular||iatrogenic
disease_23,Urinary Tract Infection,infectious||inflammatory
disease_24,Prostate Cancer,neoplastic
disease_25,Gastroesophageal Reflux Disease||GERD,inflammatory
disease_26,Thoracic Outlet Syndrome,traumatic||vascular||congenital||others
disease_27,Onchocerciasis,infectious||parasitic
disease_28,Depression,psychiatric
disease_29,Opioid Addiction,
disease_30,Ear Infections,infectious||inflammatory
disease_31,Lyme Disease,infectious
disease_32,Opiate Dependency,psychiatric||toxic
disease_33,Duchenne muscular dystrophy,genetic||degenerative
disease_34,Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),iatrogenic||vascular
disease_35,Allergic Reactions,allergic
disease_36,Poison Oak Rash,allergic||toxic
disease_37,Postpartum Depression and Anxiety,psychiatric
disease_38,Acute Appendicitis,inflammatory
disease_39,Influenza,infectious||inflammatory
disease_40,Diabetes Mellitus,metabolic||endocrine
disease_41,Irritable Bowel Syndrome,idiopathic||inflammatory||psychiatric||others
disease_42,Low Back Pain,degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others
disease_43,Acne,infectious||inflammatory
disease_44,Periodontal Disease,infectious||inflammatory
disease_45,Panic Disorder,psychiatric
disease_46,Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious||neoplastic||others
disease_47,Irregular Heart Rhythm,vascular||iatrogenic
disease_48,Chronic Fatigue Syndrome||myalgic encephalomyelitis,psychiatric||infectious_viral||idiopathic
disease_49,Anxiety Disorders,psychiatric
disease_50,Fibromyalgia,neurological||metabolic||chronic
disease_51,Idiopathic Intracranial Hypertension,idiopathic
disease_52,Absence Seizures,
disease_53,Situational Anxiety,psychiatric
disease_54,Immune Reconstitution Syndrome (IRS),infectious||inflammatory||iatrogenic
disease_55,Heart Failure,degenerative||vascular||others
disease_56,COVID-19,infectious
disease_57,Stomach Cancer,neoplastic
disease_58,Plaque Psoriasis,inflammatory
disease_59,Tuberculosis,infectious||inflammatory
disease_60,Parasitic Infections (Tapeworm),infectious||parasitic
disease_61,Systemic Lupus Erythematosus||SLE,autoimmune||inflammatory
disease_62,Metastatic Colorectal Cancer||mCRC,neoplastic
disease_63,Acute Bacterial Prostatitis,infectious||inflammatory
disease_64,Secondary Peritonitis,inflammatory
disease_65,Opioid Use Disorder,
disease_66,Essential Hypertension,
disease_67,Huntington's disease||Huntington's Chorea,genetic||degenerative||psychiatric
disease_68,Heart Murmur,
disease_69,Charcot Neuropathic Osteoarthropathy,metabolic||degenerative||inflammatory||traumatic||vascular||idiopathic
disease_70,HIV-1 Infection,infectious
disease_71,Celiac Disease,genetic||autoimmune
disease_72,Rabies,infectious||inflammatory
disease_73,Human African Trypanosomiasis (Sleeping Sickness),infectious||parasitic
disease_74,Diabetic Peripheral Neuropathy,metabolic||vascular
disease_75,Crohn's disease,inflammatory
disease_76,Osteoarthritis,
disease_77,Advanced Breast Cancer,neoplastic
disease_78,Alzheimer's Disease,degenerative
disease_79,Cancer,neoplastic
disease_80,Sinus Migraine,inflammatory||idiopathic||others
disease_81,Major Depressive Disorder,psychiatric
disease_82,Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,vascular||degenerative
disease_83,Cystoid Macular Edema,inflammatory
disease_84,Preeclampsia,vascular||inflammatory||idiopathic
disease_85,Acute Intermittent Porphyria,genetic||metabolic
disease_86,Psoriatic Arthritis||PsA,autoimmune||inflammatory
disease_87,Bell's palsy,idiopathic||inflammatory||infectious_viral
disease_88,Sarcopenia,degenerative||nutritional||endocrine||inflammatory
disease_89,Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,neoplastic||inflammatory
disease_90,Peritonitis,infectious||inflammatory
disease_91,Atrial Fibrillation,vascular||degenerative
disease_92,Primary Biliary Cholangitis,
disease_93,Drug Resistant Tuberculosis (DR TB),infectious
disease_94,Sinus Infection,
disease_95,Premenstrual Syndrome,
disease_96,Hypertension,vascular
disease_97,Gut Microbiome Imbalance,iatrogenic||infectious||nutritional||others
disease_98,Benign Prostatic Hypertrophy (BPH),
disease_99,Leptospirosis,infectious
