id,name,position,nationality
nba_0,Antonius Cleveland  ,,American  
nba_1,Jay Vincent Jay Fletcher Vincent  ,Frontcourt,American  
nba_2,Nikola Radi?evi?  ,Backcourt,Serbian  
nba_3,Fran Curran Francis Hugh Curran Sr.,,American
nba_4,Mark Price  ,Backcourt,American  
nba_5,David Michineau  ,Backcourt,French  
nba_6,Donta Hall  ,,American-born naturalized Azerbaijani  
nba_7,Erick Strickland  ,,American  
nba_8,David Lattin  ,Frontcourt,American  
nba_9,Toby Kimball  ,Frontcourt,American  
nba_10,Derek Grimm  ,Frontcourt,American  
nba_11,Anthony Marshon Davis Jr.,Frontcourt,American
nba_12,Brandan Keith Wright  ,,American  
nba_13,Askia Rahman Jones  ,Backcourt,American-Venezuelan  
nba_14,Carrick Felix  ,Backcourt,American  
nba_15,Mychel Thompson  ,Backcourt,American  
nba_16,Marvin Roberts,,American
nba_17,"Kenneth ""Apple"" Green  ",,American  
nba_18,Gerald Madkins Jr.,,American
nba_19,Don Anielak  ,,American  
nba_20,Philip Douglas Jackson  ,Frontcourt,American  
nba_21,Anthony Avent  ,Frontcourt,American  
nba_22,Drew Edward Gordon  ,Frontcourt,American  
nba_23,Jarrett Jack  ,,American  
nba_24,Rick Hughes  ,,American  
nba_25,Lavoy Allen  ,,American  
nba_26,Ed Dahler Edward Dahler Jr.,,American
nba_27,Magic Johnson  ,Backcourt,American  
nba_28,Stanley M. Noszka  ,, 
nba_29,Isiah Thomas  ,Backcourt,American  
nba_30,Dan Anderson,,American
nba_31,Jahlil Okafor,,Nigerian-American
nba_32,Trent Tucker  ,Backcourt,American  
nba_33,Dwayne Kenneth Schintzius  ,Frontcourt,American  
nba_34,Miles Julian Simon  ,Backcourt,American  
nba_35,Guy William Rodgers  ,,American  
nba_36,Vernon Maxwell,Backcourt,American
nba_37,Tim Duncan,Frontcourt,American
nba_38,Walter Berry ,Frontcourt,American  
nba_39,James Patrick Walsh  ,Frontcourt,American  
nba_40,Tony Lorenzo Delk  ,,American  
nba_41,Calvin Ramsey  ,Frontcourt,American  
nba_42,Gene Dyker Eugene Walter Dyker  ,Frontcourt,American  
nba_43,Derrick Chievous  ,Frontcourt,American  
nba_44,Rik Smits  ,Frontcourt,Dutch  
nba_45,Anthony Edwards,Backcourt,American
nba_46,"Harry Junior ""The Horse"" Gallatin  ",Frontcourt,American  
nba_47,Jim Brasco  ,,American  
nba_48,Darnell Hillman  ,Frontcourt,American
nba_49,Larry Robinson,Frontcourt,Canadian
nba_50,Nicholas William Calathes ,Backcourt,Greek-American  
nba_51,Rod Derline  ,Backcourt, 
nba_52,Kurt Thomas  ,Frontcourt,American  
nba_53,Kevin Wayne Durant,Frontcourt,American
nba_54,Aaron Williams  ,Frontcourt,American  
nba_55,Nathaniel Thomas Huffman  ,,American  
nba_56,Fred Boyd  ,,American  
nba_57,William Bedford  ,Frontcourt,American  
nba_58,Steve Smith,Backcourt,American
nba_59,Shawn Christopher Respert  ,,American  
nba_60,Rodney Strickland  ,,American  
nba_61,Elmer H. Behnke  ,,American  
nba_62,Lamar Brandon Stevens  ,,American  
nba_63,Ronald Moore  ,Backcourt,American  
nba_64,Erazem Lorbek  ,Frontcourt,Slovenian  
nba_65,"Marvin ""Mickey"" Rottner  ",Backcourt,American  
nba_66,Hamidou Diallo  ,,American  
nba_67,"Dewayne ""D. J."" White, Jr.",Frontcourt,American
nba_68,Steve Kerr  ,Frontcourt,American  
nba_69,Gregory Clinton Foster  ,Frontcourt,American  
nba_70,Bill Hewitt  ,Frontcourt,American  
nba_71,Joseph Xavier Forte  ,Backcourt,American  
nba_72,Dino_Ra?a,Frontcourt,Croatian  
nba_73,Mark Jeffrey Radford  ,,American  
nba_74,Kostas Papanikolaou,Frontcourt,Greek
nba_75,Garry Witts Garrett David Witts  ,,American  
nba_76,Jabari Dominic Walker  ,,American  
nba_77,Devontae Cacok  ,,American  
nba_78,Brandon Goodwin  ,Backcourt,American  
nba_79,Dick Rosenthal  ,Frontcourt,American  
nba_80,Jamal Crawford  ,,American  
nba_81,Jordan Lee Crawford  ,,American  
nba_82,Tom Copa  ,,American  
nba_83,Kermit Washington  ,Frontcourt,American  
nba_84,Donyell Marshall  ,,American  
nba_85,Wayne Lavern Robinson,Frontcourt,American
nba_86,Greg Fillmore Gregory Paul Fillmore  ,Frontcourt,American  
nba_87,John Harding Lucas II  ,Frontcourt,American  
nba_88,Dick Surhoff  ,,American
nba_89,Garfield Smith  ,,American  
nba_90,Leroy Patrick Chollet  ,Backcourt,American  
nba_91,Michael Carter-Williams  ,,American  
nba_92,Dennis Schr?der,,German
nba_93,Jack Parr  ,,American  
nba_94,"Monti Davis DaMon William ""Monti"" Davis  ",Frontcourt,American  
nba_95,Eric Johnson Jones  ,,American-Spanish  
nba_96,Sidney Harold Tanenbaum,Backcourt,American
nba_97,Trayce Jackson-Davis  ,,American  
nba_98,Andre Jamal Drummond,Frontcourt,American
nba_99,"Chavano Rainer ""Buddy"" Hield",,Bahamian
