nba_team,name,own_year
Detroit Pistons,Tom Gores,2011
Chicago Bulls,Jerry Reinsdorf,2009
New Orleans Pelicans,Gayle Marie LaJaunie Bird Benson,2017
Denver Nuggets,Stan Kroenke,2022
Philadelphia 76ers,Joshua Jordan Harris,2023
New York Knicks,James Lawrence Dolan,1999
Miami Heat,Micky Arison,1995
Golden State Warriors,Joseph Steven Lacob,2010
Cleveland Cavaliers,Dan Gilbert,2015
Los Angeles Clippers,Steve Ballmer,2014
Orlando Magic,Daniel G. DeVos,1991
Dallas Mavericks,Mark Cuban,2023
Houston Rockets,Tilman Joseph Fertitta,2017
Brooklyn Nets,Joseph Tsai,2019
Oklahoma City Thunder,Clayton Ike Bennett,2006
Indiana Pacers,Herbert Simon,1983
