area,city_name,gdp
99025.0,Denver,
145.09,Portland,
232.0,San Francisco,87400000000.0
369.62,Philadelphia,51850000000.0
350.0,New Orleans,
,Chicago,689000000000.0
,Orlando,
286.0,Salt Lake City,
630.2,Toronto,
517.9,Phoenix,36200000000.0
,Washington,
125.4,Boston,
82.47,Cleveland,17600000000.0
640.4,Houston,
100.1,Sacramento,
142.87,Detroit,43000000000.0
324.0,Memphis,
312.0,Charlotte,
468.484,New York City,2160000000000.0
620.34,Oklahoma City,
96.8,Milwaukee,10200000000.0
134.0,Atlanta,47300000000.0
368.0,Indianapolis,
385.8,Dallas,
465.4,San Antonio,
502.7,Los Angeles,1000000.0
59.0,Minneapolis,69397.0
"The area averages at around 6 ft (1.8 m) above sea level in most neighborhoods, especially near the coast. The highest points are found along the Miami Rock Ridge, which lies under most of the eastern Miami metro.",Miami,344900000000.0
24.0,Inglewood,
