ownership,championship,founded_year
Atlanta Spirit LLC,1.0,1946
Steve Kerr,5.0,1946
Tilman Fertitta,2.0,1967
Pacers Sports & Entertainment,3.0,1967
Steve Ballmer,,1970
Jeanie Buss,17.0,1946
Carnival Cruise Lines,6.0,1988
Edens and Lasry,3.0,1968
Boston Basketball Partners L.L.C.,18.0,1946
James Dolan,3.0,1946
$310 million,1.0,1967
DeVos family,1995.0,1986
Apollo Global Management,3.0,1946
Mat Ishbia,0.0,1968
Vulcan Inc.,1.0,1970
Dyal Capital,1.0,1985
Peter M. Holt and a group of 22 investors,7.0,1967
"Deciding the Jazz were no longer viable in New Orleans, Battistone decided to move elsewhere. After scouting several new homes, he decided on Salt Lake City, even though it was a smaller market.",0.0,1974
Monumental Sports & Entertainment,1.0,1973
Gabe Plotkin and Rick Schnall,,1985
Rocky Wirtz,6.0,1966
Dan Gilbert since March 2005,1.0,1970
Miriam Adelson and Patrick Dumont,7.0,1980
Stan Kroenke,2.0,1967
Tom Gores,4.0,1937
