name,position,team_name,founded_year
Erick Strickland,,Dallas Mavericks,1980
Thomas Kimball,power forward/center,Boston Celtics,1946
Marvin Roberts,,Detroit Pistons,1937
Drew Gordon,power forward,Philadelphia 76ers,1946
Jarrett Jack,point guard,Detroit Pistons,1937
Lavoy Allen,center,Philadelphia 76ers,1946
Earvin,point guard,Los Angeles Lakers,1947
Dan Anderson,basketball player,Portland Trail Blazers,1970
Dwayne Schintzius,center,San Antonio Spurs,1973
Miles Julian Simon,assistant coach,Phoenix Suns,1968
Vernon Maxwell,shooting guard,Houston Rockets,1967
Derrick Chievous,small forward,Houston Rockets,1967
Rik Smits,center,Indiana Pacers,1967
Darnell Hillman,forward,Indiana Pacers,1967
Kevin Durant,small forward,Phoenix Suns,1968
Fred Boyd,basketball player,Philadelphia 76ers,1946
William Bedford,center,Detroit Pistons,1937
Steve Smith,basketball player,Atlanta Hawks,1946
Shawn Respert,coach,Minnesota Timberwolves,1989
Lamar Brandon Stevens,professional basketball player,Memphis Grizzlies,-1
Steve Kerr,head coach for the Golden State Warriors of the National Basketball Association (NBA),Golden State Warriors,1946
Greg Foster,center–power forward,Indiana Pacers,1967
Bill Hewitt,forward,Los Angeles Lakers,1947
Aaron Jamal Crawford,shooting guard,Phoenix Suns,1968
Kermit Washington,big defensive forward,Los Angeles Lakers,1947
Dennis Schröder,point guard,Brooklyn Nets,1967
Monti Davis,forward,Philadelphia 76ers,1946
Eric Johnson,basketball player,Utah Jazz,1974
Andre Drummond,center,Philadelphia 76ers,1946
Buddy Hield,sharpshooter,Golden State Warriors,1946
D'Angelo Russell,point guard,Los Angeles Lakers,1947
Paul George,small forward,Philadelphia 76ers,1946
Kyrie Irving,Point Guard,Dallas Mavericks,1980
Jayson Tatum,small forward,Boston Celtics,1946
Caleb Martin,small forward,Philadelphia 76ers,1946
Andrew Wiggins,forward,Golden State Warriors,1946
Max Fiedler,basketball,Philadelphia 76ers,1946
Jaylen Brown,shooting guard / small forward,Boston Celtics,1946
Victor Wembanyama,center,San Antonio Spurs,1973
Jrue,Point Guard,Boston Celtics,1946
Austin Tyler Reaves,guard,Los Angeles Lakers,1947
Kevin Love,forward,Miami Heat,1988
Giannis Antetokounmpo,Forward,Milwaukee Bucks,1968
Al Horford,center,Boston Celtics,1946
Duncan Robinson,shooting guard,Miami Heat,1988
Kyle Anderson,point guard,Golden State Warriors,1946
Jimmy Butler,small forward,Miami Heat,1988
Kevon Looney,forward,Golden State Warriors,1946
Zachary Thomas LaVine,point guard,Chicago Bulls,1966
Kyle Lowry,point guard,Philadelphia 76ers,1946
Devin Booker,shooting guard,Phoenix Suns,1968
Draymond Green,power forward,Golden State Warriors,1946
Zach Collins,center,San Antonio Spurs,1973
Jonathan Kuminga,small forward,Golden State Warriors,1946
Ausar Thompson,professional basketball player,Detroit Pistons,1937
Chris Paul,point guard,San Antonio Spurs,1973
Bam Adebayo,power forward,Miami Heat,1988
