team_name,location,city_name,state_name
Celtics,Boston,Boston,Massachusetts
Chicago Bulls,Chicago,Chicago,Illinois
Golden State Warriors,San Francisco,San Francisco,California
Indiana Pacers,Indianapolis,Indianapolis,Indiana
Miami Heat,Miami,Miami,Florida
Bucks,Milwaukee,Milwaukee,Wisconsin
Minnesota Timberwolves,Minneapolis,Minneapolis,Minnesota
New Orleans Pelicans,New Orleans,New Orleans,Louisiana
Oklahoma City Thunder,Oklahoma City,Oklahoma City,Oklahoma
Raptors,Toronto,Toronto,Ontario
