court_name,judge_name,hearing_year,judgment_year,file,        judge_name,appeal_information,charges,legal_basis,verdict,plaintextjudge_name,plaintextcourt_name
 Federal Court of Bankruptcy,NAN,2004, 2006,06_900.txt,,,,,,,
 Federal Court of Australia,Honourable Justice Logan,2009,2009,09_1154.txt,,,,,,,
NAN, Heerey J,2006, 2006,06_848.txt,,,,,,,
 Federal Court,NAN,2006, 2006,06_135.txt,,,,,,,
Federal Court of Australia, Drummond J,2004,2004,08_995.txt,,,,,,,
Federal Court of Australia,Cowdroy J,2006,2007,07_86.txt,,,,,,,
 Federal Magistrates Court, Justice Moore,2006,2006,06_478.txt,,,,,,,
 Federal Court,Honourable Justice Wilcox, 2006,2009,06_487.txt,,,,,,,
" Seoul Central District Court, 3rd Bankruptcy Division, Korea", Stone J,2009,2009,09_372.txt,,,,,,,
 Federal Court of Australia,NAN,2007,2007,07_1599.txt,,,,,,,
Federal Court of Australia, Justice Cooper,2009,2009,09_789.txt,,,,,,,
 Federal Court of Australia, Kenny J,2007,2007,07_1823.txt,,,,,,,
NAN,NAN,2009,2009,09_57.txt, NAN,,,,,,
Federal Magistrates Court,Justice Madgwick, 2007, 2007,07_863.txt,,,,,,,
 Federal Court of Australia, Needham J,2008, 2008,08_1542.txt,,,,,,,
 Federal Court of Australia,Honourable Justice Jagot,2009,2009,09_570.txt,,,,,,,
 Federal Court of Australia,Honourable Justice Rares, 2007,2007,08_617.txt,,NAN,NAN,NAN,dismissed,,
 Federal Court of Australia,Justice Foster,2008,2008,09_980.txt,,,,,,,
NAN,Jacobson, 2009,2009,09_87.txt,,,,,,,
 Federal Magistrates Court, Scarlett FM, 2006,2007,07_479.txt,,,,,,,
NAN, Mr Simon Couper QC,2006,2007,07_54.txt,,,,,,,
 Federal Magistrates Court,Williams, 2008,2008,08_1408.txt,,,,,,,
 Federal Court of Australia,NAN,2009,2009,09_1391.txt,,,,,,,
 Federal Court of Australia,NAN,2009,2009,09_1255.txt,,,,,,,
FEDERAL COURT OF AUSTRALIA,GYLES J,2003,2006,06_157.txt,,,,,,,
 Federal Court of Australia, the Honourable Justice Gordon,2008,2009,09_1122.txt,,,,,,,
 Federal Magistrates Court, Honourable Justice Moore,2006, 2006,06_786.txt,,,,,,,
Magistrates Court of Queensland,Payne SM,NAN, 2004,09_307.txt,,,,,,,
Federal Court,NAN, 2007, 2008,08_63.txt,,,,,, Flick J,
 Federal Court of Australia,Honourable Justice Tamberlin, 2007,2007,07_1288.txt,,,,,,,
NAN, Allsop J,2006,2006,07_811.txt,,,,,,, Federal Court of Australia
NAN, Ms M Brennan,2009,2009,08_1530.txt,,,,,,,
NAN,NAN,2009,2009,09_516.txt,,,,,,,
NAN," S O'Bryan SC, R Sofroniou, Gillard J",2008,2008,08_1860.txt,,,,,,,
 Federal Court of Australia,Branson J,2009,2009,09_660.txt,,,,,,,
 Federal Court of Australia, S M Littlemore QC,2007, 2007,07_569.txt,,,,,,,
NAN, Dowsett J, 2006, 2006,07_545.txt,,,,,,,
NAN,NAN,2008, 2008,08_1870.txt,,,,,,,
 Federal Court, Emmett J,2008,2008,08_1737.txt,,,,,,,
NAN, Turner FM,2002,2006,08_1284.txt,,,,,,,
NAN,NAN,2006,2006,06_192.txt,,,,,,,
 Federal Magistrate's Court,Jacobson, 2005, 2005,06_435.txt,,,,,,,
NAN, French J,2007,2007,07_2034.txt,,,,,,,
 Federal Court of Australia, Graeme Julian Samuel,2008, 2008,08_1735.txt,,,,,,,
NAN,NAN,2009,2009,09_26.txt,,,,,,,
