area,city_name,gdp,city.id,id
134.0,atlanta,473000000000.0,,
48.4,boston,,,
312.0,charlotte,,,
,chicago,689000000000.0,,
82.47,cleveland,,,
385.8,dallas,,,
99025.0,denver,,,
142.87,detroit,,,
640.4,houston,,,
950.0,indianapolis,,,
24.0,inglewood,,,
502.7,los angeles,1028573460000.0,,
324.0,memphis,,,
,miami,344900000000.0,,
96.8,milwaukee,10200000000.0,,
59.0,minneapolis,,,
350.0,new orleans,,,
778.2,new york city,,,
598.63,oklahoma city,,,
,orlando,,,
350.0,philadelphia,,,
1341.0,phoenix,36200000000.0,,
145.09,portland,,,
259.0,sacramento,,,
286.0,salt lake city,,,
465.4,san antonio,,,
46.9,san francisco,,,
630.0,toronto,,,
