area,city_name,gdp,city.id,id
347.1,atlanta,473000000000.0,,
125.0,boston,,,
312.0,charlotte,,,
,chicago,689000000000.0,,
82.47,cleveland,176000000000.0,,
385.8,dallas,,,
400.739,denver,,,
142.87,detroit,,,
637.4,houston,,,
368.0,indianapolis,,,
9.1,inglewood,,,
550.0,los angeles,1025370000000.0,,
324.0,memphis,,,
,miami,344900000000.0,,
250.71,milwaukee,102000000000.0,,
152.8,minneapolis,,,
350.0,new orleans,,,
300.46,new york city,,,
976.15,oklahoma city,,,
,orlando,,,
350.0,philadelphia,,,
1341.0,phoenix,362000000000.0,,
375.78,portland,,,
100.1,sacramento,,,
14.2,salt lake city,,,
1205.4,san antonio,,,
46.9,san francisco,,,
630.0,toronto,,,
68.34,washington dc,160472.0,,
