city_name,state_name,team_name,name,college
chicago,Illinois,Chicago Bulls,Trent Tucker,University of Minnesota
chicago,Illinois,Chicago Bulls,Zachary Thomas LaVine,UCLA
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,UCLA
milwaukee,Wisconsin,Milwaukee Bucks,Erick Strickland,University of Nebraska
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia
salt lake city,Utah,Utah Jazz,Eric Johnson Jones,
san francisco,California,Golden State Warriors,Darnell Hillman,San Jose State University
san francisco,California,Golden State Warriors,Steve Kerr,University of Arizona
san francisco,California,Golden State Warriors,Kermit Washington,American University
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana Hoosiers
san francisco,California,Golden State Warriors,"Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,Kansas Jayhawks
san francisco,California,Golden State Warriors,Wardell Stephen Curry II,Davidson
