team_name,location,city_name,state_name
boston celtics,Boston,Boston,Massachusetts
chicago bulls,Chicago,Chicago,Illinois
denver nuggets,Denver,Denver,Colorado
golden state warriors,San Francisco,San Francisco,California
houston rockets,Houston,Houston,Texas
indiana pacers,Indianapolis,Indianapolis,Indiana
los angeles clippers,Los Angeles,Los Angeles,California
los angeles lakers,Los Angeles,Los Angeles,California
memphis grizzlies,Memphis,Memphis,Tennessee
miami heat,Miami,Miami,Florida
oklahoma city thunder,Oklahoma City,Oklahoma City,Oklahoma
orlando magic,Orlando,Orlando,Florida
phoenix suns,Phoenix,Phoenix,Arizona
san antonio spurs,San Antonio,San Antonio,Texas
toronto raptors,Toronto,Toronto,Ontario
