name,college,team_name,gdp
ausar xlnc thompson,,Detroit Pistons,
cade parker cunningham,Oklahoma State,Detroit Pistons,
"chavano rainer ""buddy"" hield",Oklahoma Sooners,Golden State Warriors,252200
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,
d'angelo russell,Ohio State,Los Angeles Lakers,
devin armani booker,Kentucky Wildcats,Phoenix Suns,362000
don anielak,Southwest Missouri State University,New York Knicks,
"edrice femi ""bam"" adebayo",University of Kentucky,Miami Heat,344.9
giannis sina ugo antetokounmpo,,Milwaukee Bucks,"102,000,000,000"
harrison bryce jordan barnes,North Carolina Tar Heels,San Antonio Spurs,
isiah thomas,Indiana Hoosiers,Detroit Pistons,
jaime jaquez,UCLA,Miami Heat,344.9
jalen marquis brunson,Villanova University,New York Knicks,
jay vincent jay fletcher vincent,Michigan State Spartans,Los Angeles Lakers,
jayson christopher tatum,Duke University,Boston Celtics,
jimmy butler,Marquette University,Miami Heat,344.9
joel hans embiid,University of Kansas,Philadelphia 76ers,518.5
"kenneth ""apple"" green",Pan American University,New York Knicks,
kevin wesley love,UCLA,Miami Heat,344.9
kobe bean bryant,,Los Angeles Lakers,
kyle forman anderson,UCLA,Golden State Warriors,252200
kyle terrell lowry,Villanova Wildcats,Philadelphia 76ers,518.5
kyrie andrew irving,Duke University,Dallas Mavericks,
lebron raymone james,,Los Angeles Lakers,
lonzo anderson ball,UCLA,Chicago Bulls,689000
mark price,Georgia Tech,Orlando Magic,
paul clifton anthony george,Fresno State,Philadelphia 76ers,518.5
trent tucker,University of Minnesota,Chicago Bulls,689000
tyler christopher herro,University of Kentucky,Miami Heat,344.9
vernon maxwell,University of Florida,Dallas Mavericks,
victor wembanyama,,San Antonio Spurs,
zachary thomas lavine,UCLA,Chicago Bulls,689000
