name,college,team_name,gdp,city.id,id,player.id,team.id
ausar xlnc thompson,,Detroit Pistons,,,,,
cade parker cunningham,,Detroit Pistons,,,,,
"chavano rainer ""buddy"" hield",,Sacramento Kings,,,,,
christopher emmanuel paul,Wake Forest University,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}",,,,
d'angelo russell,Ohio State,Los Angeles Lakers,1000000000.0,,,,
devin armani booker,Kentucky Wildcats,Phoenix Suns,24275000000.0,,,,
don anielak,,New York Knicks,,,,,
"edrice femi ""bam"" adebayo",,Miami Heat,$344.9 billion,,,,
giannis sina ugo antetokounmpo,,Milwaukee Bucks,10200000000.0,,,,
harrison bryce jordan barnes,University of North Carolina at Chapel Hill,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}",,,,
isiah thomas,Indiana University,Detroit Pistons,,,,,
jaime jaquez,UCLA Bruins,Miami Heat,$344.9 billion,,,,
jalen marquis brunson,Villanova University,New York Knicks,,,,,
jay vincent jay fletcher vincent,,Mavericks,,,,,
jayson christopher tatum,,Celtics,,,,,
jimmy butler,Marquette University,Miami Heat,$344.9 billion,,,,
joel hans embiid,,Philadelphia 76ers,,,,,
"kenneth ""apple"" green",,New York Knicks,,,,,
kevin wesley love,UCLA Bruins,Miami Heat,$344.9 billion,,,,
kobe bean bryant,,Los Angeles Lakers,1000000000.0,,,,
kyle forman anderson,UCLA,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}",,,,
kyle terrell lowry,Villanova Wildcats,Philadelphia 76ers,,,,,
kyrie andrew irving,Duke University,Dallas Mavericks,,,,,
lebron raymone james,,Lakers,1000000000.0,,,,
lonzo anderson ball,UCLA Bruins,Pelicans,,,,,
mark price,Georgia Tech,Cleveland Cavaliers,13830000000.0,,,,
paul clifton anthony george,Fresno State,Philadelphia 76ers,,,,,
trent tucker,University of Minnesota,New York Knicks,,,,,
tyler christopher herro,Kentucky,Miami Heat,$344.9 billion,,,,
vernon maxwell,University of Florida,Houston Rockets,,,,,
victor wembanyama,,San Antonio Spurs,"{""value"": ""$121 billion"", ""span"": ""a gross domestic product (GDP) of approximately $121 billion in 2018.""}",,,,
zachary thomas lavine,UCLA Bruins,Chicago Bulls,689000000000.0,,,,
