nba_team,name,own_year,id,owner.id
Oklahoma City Thunder,clay bennett,2006,,
Orlando Magic,daniel g devos,1991,,
Cleveland Cavaliers,daniel gilbert,2015,,
Denver Nuggets,enos stanley kroenke,1983,,
New Orleans Pelicans,gayle marie lajaunie bird benson,2018,,
Indiana Pacers,herbert simon,1983,,
New York Knicks,james lawrence dolan,1999,,
Chicago Bulls,jerry michael reinsdorf,2009,,
Brooklyn Nets,joseph chung-hsin tsai,2019,,
Washington Commanders,joshua jordan harris,2023,,
Dallas Mavericks,mark cuban,2011,,
,micky arison,1995,,
Los Angeles Clippers,steven anthony ballmer,2024,,
Houston Rockets,tilman joseph fertitta,2017,,
Detroit Pistons,tom gores,2015,,
