id,disease_name,disease_type,common_symptoms,treatments
disease_20,Attention-Deficit Hyperactivity Disorder,psychiatric,behavioral issues||developmental delay||learning disabilities||mood disorder||irritability,oral_medication||psychotherapy||lifestyle_modification
disease_28,Depression,psychiatric,,
disease_32,Opiate Dependency,psychiatric||toxic,dependence,oral_medication||others
disease_37,Postpartum Depression and Anxiety,psychiatric,excessive worry||fear||extreme sleep deprivation||difficulty sleeping||anger||frustration,psychotherapy
disease_41,Irritable Bowel Syndrome,idiopathic||inflammatory||psychiatric||others,nausea||abdominal pain||cramping||gas||bloating||constipation||diarrhea||weight loss||rectal bleeding,oral_medication||lifestyle_modification||dietary_intervention||others
disease_45,Panic Disorder,psychiatric,recurrent panic attacks||severe anxiety||rapid heart rate||difficulty breathing||heart races||palms get sweaty||can't breathe||lightheaded||intense fear of dying,
disease_48,Chronic Fatigue Syndrome||myalgic encephalomyelitis,psychiatric||infectious_viral||idiopathic,fatigue||physical functioning impairment,psychotherapy||physical_therapy||lifestyle_modification
disease_49,Anxiety Disorders,psychiatric,headache||irrational fear||nervousness||nausea||vomiting||panic attacks||fear||excessive worry||sweating,oral_medication||psychotherapy||lifestyle_modification||dietary_intervention||regular_exercise||relaxation_techniques||meditation
disease_53,Situational Anxiety,psychiatric,fast heart rate||shaky voice||shaky hands||sweating||dizziness||racing heart,oral_medication
disease_67,Huntington's disease||Huntington's Chorea,genetic||degenerative||psychiatric,movement disorders||behavioral changes||psychiatric disorders||low movements of eye||muscle stress||communication difficulties||loss of confidence||difficulty with simple tasks||change in attitude||loss of interest||loss of sexual desire||learning difficulties||sadness||forced smile||loss of energy||fatigue,oral_medication||lifestyle_modification
disease_81,Major Depressive Disorder,psychiatric,depressed mood||irritability||forgetfulness||impatience||lethargy||neglect self-care||complain bitterly,psychotherapy||oral_medication
